Id,Player,PER_avg,GP_avg,Seasons
Ilgauzy01,Zydrunas Ilgauskas,18.1328687271138,4.0,6
Shawbr01,Brian Shaw,18.11003304184061,4.25,4
Dragigo01,Goran Dragic,18.057710671379475,3.75,4
Dellama01,Matthew Dellavedova,17.810169351242244,3.3333333333333335,3
Bartowi01,Will Barton,17.77749359610912,4.0,1
Gallida01,Danilo Gallinari,17.410228598199105,3.4,5
Davisgl01,Glen Davis,16.86015073800946,3.2,5
Brandel01,Elton Brand,16.83646247063198,3.3333333333333335,3
Howarjo01,Josh Howard,16.694606154466562,4.2,5
Ibakase01,Serge Ibaka,16.351297372284844,5.1,10
Hoibefr01,Fred Hoiberg,15.37897183581427,6.0,1
Leeco01,Courtney Lee,14.732670854989944,4.25,4
Boozeca01,Carlos Boozer,14.122252141796356,3.25,8
Childch01,Chris Childs,13.843403487647391,5.0,6
Gasolpa01,Pau Gasol,13.452297072016089,4.4,10
Gasolma01,Marc Gasol,12.997183923164195,4.375,8
Tuckepj01,P.J. Tucker,12.3075382898374,4.4,5
Huertke01,Kevin Huerter,11.664134933255626,7.0,1
Terryja01,Jason Terry,11.145215463330324,3.5833333333333335,12
Majerda01,Dan Majerle,10.734769636776774,4.333333333333333,3
Colemde01,Derrick Coleman,10.415627482494472,4.0,2
Allento01,Tony Allen,10.111543684319425,3.25,8
Brownpj01,P.J. Brown,9.984255643711386,3.1666666666666665,6
Millspa01,Paul Millsap,9.830232217081079,3.2,10
Hillty01,Tyrone Hill,9.813226419709686,4.5,4
Thompkl01,Klay Thompson,8.563737428326053,5.5,6
Pattepa01,Patrick Patterson,8.520429819342228,3.5,4
Chrisdo01,Doug Christie,7.804813352776515,4.6,5
Lewisra02,Rashard Lewis,7.649900017588025,4.333333333333333,6
Harpero01,Ron Harper,7.587338622044319,7.0,4
Thomptr01,Tristan Thompson,6.788128076886119,5.0,4
Mariosh01,Shawn Marion,6.653826428999012,5.333333333333333,3
Jacksji01,Jim Jackson,6.457798205924425,3.6666666666666665,3
Biyombi01,Bismack Biyombo,6.210665621447148,6.0,1
Korveky01,Kyle Korver,6.19247883812543,3.357142857142857,14
Westbru01,Russell Westbrook,5.877008413029619,5.2727272727272725,11
Conlemi01,Mike Conley,5.746559086273216,3.4285714285714284,7
Gibsoda01,Daniel Gibson,5.609116586019508,4.0,3
Willial02,Alvin Williams,5.244225753692652,5.0,2
Hansbty01,Tyler Hansbrough,4.019230274585323,4.0,1
Teaguje01,Jeff Teague,3.788273625829724,3.2857142857142856,7
Finlemi01,Michael Finley,3.457116865254034,4.4,10
Carrode01,DeMarre Carroll,3.453462055159889,5.666666666666667,3
Mayooj01,O.J. Mayo,3.1851843430044706,3.5,4
Brownja02,Jaylen Brown,2.8221652567412736,4.75,4
Grantje01,Jerami Grant,2.2613536313647313,3.75,4
Hillge01,George Hill,1.8030054135976787,3.25,12
Bledser01,Eric Bledsoe,1.2801390671851074,3.4,5
Walkeke02,Kemba Walker,1.242197357602836,4.333333333333333,3
Capelca01,Clint Capela,1.0066911666791647,4.25,4
Shumpim01,Iman Shumpert,0.9878693989063693,3.5,4
Fishede01,Derek Fisher,0.5298495964742155,5.571428571428571,14
Alstora01,Rafer Alston,0.5180497661797676,4.25,4
Smithst03,Steven Smith,0.47944423853576745,3.2,5
Beverpa01,Patrick Beverley,0.3793450692118488,3.3333333333333335,3
Mckeyde01,Derrick McKey,0.1415211411599957,5.0,4
Kamanch01,Chris Kaman,0.0,4.0,1
Hassetr01,Trenton Hassell,0.0,5.0,1
Burresc01,Scott Burrell,0.0,4.0,1
Siakapa01,Pascal Siakam,-0.7887679203210496,6.0,3
Nowitdi01,Dirk Nowitzki,-0.9809564977983153,4.0,15
Denglu01,Luol Deng,-1.0413618878204869,3.5714285714285716,7
Embiijo01,Joel Embiid,-1.5554609676100526,3.75,4
Bynuman01,Andrew Bynum,-1.8447706147610845,3.6666666666666665,3
Wallabe01,Ben Wallace,-1.949785313592396,4.875,8
Vanhoke01,Keith Van Horn,-2.233888598397553,3.4,5
Bazemke01,Kent Bazemore,-3.069398863017527,3.6666666666666665,3
Collijo01,John Collins,-3.2471730563547045,7.0,1
Paytoga02,Gary Payton,-4.692628179908082,4.142857142857143,7
Paytoga01,Gary Payton,-4.692628179908086,4.142857142857143,7
Noahjo01,Joakim Noah,-5.174827348588551,4.0,5
Stojape01,Peja Stojakovic,-5.611595916021786,4.0,9
Jacksma01,Mark Jackson,-6.62559361821261,6.0,4
Foyera01,Randy Foye,-7.208236810723879,4.0,2
Sefolth01,Thabo Sefolosha,-8.326676992550702,5.0,7
Mckieaa01,Aaron McKie,-8.358951526480356,4.5,6
