Team,Pace
San Antonio Spurs,94.88
Memphis Grizzlies,97.10
Miami Heat,87.03
Chicago Bulls,98.28
Golden State Warriors,110.45
Indiana Pacers,84.05
Oklahoma City Thunder,102.37
Boston Celtics,69.47
Brooklyn Nets,123.61
Denver Nuggets,128.69
Houston Rockets,108.73
Los Angeles Clippers,85.26
New York Knicks,69.47
Atlanta Hawks,53.33
