Team,Pace
Los Angeles Lakers,103.99
New York Knicks,86.84
Indiana Pacers,93.61
Miami Heat,86.45
Portland Trail Blazers,115.65
Philadelphia 76ers,83.72
Phoenix Suns,94.77
Utah Jazz,115.08
Charlotte Hornets,86.84
Detroit Pistons,100.47
Milwaukee Bucks,96.28
Minnesota Timberwolves,117.07
San Antonio Spurs,85.18
Seattle SuperSonics,94.86
Toronto Raptors,88.54
