Team,Pace
Minnesota Timberwolves,144.43
Detroit Pistons,102.19
Los Angeles Lakers,91.25
Sacramento Kings,118.25
New Jersey Nets,122.08
Indiana Pacers,99.56
Miami Heat,110.60
Milwaukee Bucks,139.81
New Orleans Hornets,101.69
San Antonio Spurs,98.90
Dallas Mavericks,98.94
Denver Nuggets,111.63
Houston Rockets,93.24
Memphis Grizzlies,110.77
New York Knicks,129.44
