Team,Pace
Los Angeles Lakers,105.26
Sacramento Kings,113.84
New Jersey Nets,110.11
Boston Celtics,105.29
Charlotte Hornets,93.08
Dallas Mavericks,106.11
Detroit Pistons,91.82
Philadelphia 76ers,100.77
Indiana Pacers,106.43
Orlando Magic,92.23
San Antonio Spurs,89.42
Toronto Raptors,98.29
Minnesota Timberwolves,122.55
Portland Trail Blazers,122.81
Utah Jazz,116.97
