Team,Pace
Indiana Pacers,101.88
Miami Heat,93.26
Portland Trail Blazers,111.98
Brooklyn Nets,130.76
Los Angeles Clippers,128.85
Memphis Grizzlies,102.96
Oklahoma City Thunder,114.73
San Antonio Spurs,112.56
Washington Wizards,95.10
Dallas Mavericks,112.95
Golden State Warriors,134.38
Toronto Raptors,163.68
Chicago Bulls,93.30
Houston Rockets,111.98
Atlanta Hawks,107.26
Charlotte Bobcats,138.68
