Team,Pace
San Antonio Spurs,92.10
Indiana Pacers,124.18
New York Knicks,93.16
Portland Trail Blazers,100.46
Utah Jazz,100.33
Los Angeles Lakers,112.82
Sacramento Kings,95.23
Houston Rockets,118.68
Miami Heat,92.67
Milwaukee Bucks,164.38
Minnesota Timberwolves,120.20
Philadelphia 76ers,152.20
Phoenix Suns,91.91
