Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-,Pace
Los Angeles Lakers,8,7,1,2.0,4.8,1.0,2.0,50.0,0.0,0.3,0.0,2.8,4.1,66.7,0.3,1.6,1.9,0.5,0.6,0.4,0.8,0.6,2.1,103.99
Miami Heat,6,4,2,2.5,3.8,1.3,4.8,27.6,0.3,1.2,28.6,0.8,0.8,100.0,0.8,1.5,2.3,0.8,0.3,0.5,0.3,1.2,0.5,86.45
Utah Jazz,3,2,1,1.6,3.3,1.0,3.0,33.3,0.0,0.7,0.0,1.3,3.0,44.4,0.3,0.7,1.0,0.7,0.0,0.3,0.0,0.7,0.0,115.08
New York Knicks,11,7,4,2.3,4.6,1.0,2.7,36.7,0.2,0.5,33.3,2.5,2.6,93.1,0.4,1.5,1.9,0.5,0.3,0.1,0.1,1.0,0.3,86.84
Portland Trail Blazers,7,4,3,1.8,4.4,1.3,2.6,50.0,0.1,0.6,25.0,1.7,2.4,70.6,0.4,1.4,1.9,0.4,0.7,0.1,0.0,1.6,0.6,115.65
Philadelphia 76ers,4,2,2,1.6,2.8,0.8,1.5,50.0,0.0,0.0,0.0,1.3,1.8,71.4,0.5,1.3,1.8,0.3,0.8,0.0,0.0,0.3,0.5,83.72
Phoenix Suns,4,2,2,2.8,5.5,1.8,5.0,35.0,0.3,1.0,25.0,1.8,2.0,87.5,0.5,1.5,2.0,1.0,0.3,1.0,0.0,2.0,-0.3,94.77
Indiana Pacers,11,5,6,1.6,3.0,1.0,2.9,34.4,0.4,0.9,40.0,0.6,1.3,50.0,0.5,1.0,1.5,0.5,0.3,0.1,0.3,1.4,0.5,93.61
Minnesota Timberwolves,3,0,3,1.4,2.0,0.7,2.0,33.3,0.0,0.7,0.0,0.7,1.0,66.7,0.3,0.7,1.0,0.0,0.0,0.0,0.0,2.0,-3.3,117.07
Toronto Raptors,3,0,3,3.1,6.3,1.3,4.3,30.8,0.7,2.3,28.6,3.0,3.7,81.8,0.7,1.0,1.7,1.3,0.3,0.3,0.7,2.7,-3.3,88.54
