Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-,Pace
San Antonio Spurs,7,7,0,1.8,4.7,1.6,2.7,57.9,0.3,0.7,40.0,1.3,1.4,90.0,0.3,1.3,1.6,1.4,0.4,0.6,0.3,1.0,3.0,92.1
Portland Trail Blazers,6,4,2,1.5,4.0,0.8,2.2,38.5,0.0,0.2,0.0,2.3,3.0,77.8,0.5,0.7,1.2,0.2,0.7,0.5,0.0,0.7,2.2,100.46
New York Knicks,8,5,3,1.7,3.8,0.8,2.3,33.3,0.3,0.6,40.0,2.0,2.1,94.1,0.4,1.5,1.9,0.1,0.6,0.4,0.0,1.0,1.4,93.16
Indiana Pacers,9,5,4,1.2,3.1,0.6,1.9,29.4,0.1,0.6,20.0,1.9,2.3,81.0,0.4,0.6,1.0,0.1,0.2,0.2,0.3,1.2,0.0,124.18
Los Angeles Lakers,3,1,2,2.7,6.0,1.3,4.3,30.8,0.7,2.3,28.6,2.7,3.7,72.7,0.3,1.7,2.0,0.7,1.0,0.7,0.7,2.0,-1.7,112.82
Sacramento Kings,3,1,2,2.8,8.7,2.0,4.3,46.2,1.0,1.3,75.0,3.7,4.0,91.7,1.0,0.3,1.3,1.0,0.0,0.7,0.0,1.0,1.3,95.23
Utah Jazz,6,2,4,2.3,4.0,1.2,3.0,38.9,0.3,0.8,40.0,1.3,1.5,88.9,0.8,1.2,2.0,0.8,0.8,0.2,0.0,2.7,-3.5,100.33
Philadelphia 76ers,3,0,3,0.9,0.0,0.0,2.3,0.0,0.0,1.3,0.0,0.0,0.7,0.0,0.3,0.3,0.7,0.0,0.0,0.0,0.3,2.3,-4.3,152.2
