Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-,Pace
Los Angeles Lakers,11,8,3,2.3,6.0,1.5,3.9,39.5,0.4,0.9,40.0,2.5,3.5,73.7,0.8,1.6,2.5,0.5,0.3,0.5,0.2,1.5,1.5,105.26
Dallas Mavericks,3,2,1,1.1,3.3,1.3,2.3,57.1,0.3,0.7,50.0,0.3,0.7,50.0,0.7,0.3,1.0,0.7,0.0,0.7,0.3,0.0,2.0,106.11
Philadelphia 76ers,3,2,1,2.5,6.7,1.7,3.3,50.0,0.0,0.3,0.0,3.3,4.3,76.9,0.7,1.0,1.7,0.3,0.3,0.7,0.3,1.7,0.3,100.77
Sacramento Kings,9,6,3,2.1,6.6,1.8,3.2,55.2,0.2,0.9,25.0,2.8,3.4,80.6,0.2,1.7,1.9,0.8,0.3,0.0,0.3,1.9,1.3,113.84
New Jersey Nets,8,5,3,2.0,4.0,1.4,3.4,40.7,0.4,1.0,37.5,0.9,1.6,53.8,0.1,1.1,1.3,0.6,0.5,0.1,0.4,1.9,-1.1,110.11
Charlotte Hornets,4,2,2,2.2,2.8,1.0,3.0,33.3,0.0,0.0,0.0,0.8,1.0,75.0,0.3,1.5,1.8,0.3,0.5,0.5,0.0,1.5,-1.5,93.08
Detroit Pistons,4,2,2,1.6,2.8,0.5,2.0,25.0,0.0,0.8,0.0,1.8,2.3,77.8,0.3,1.0,1.3,0.3,0.0,0.3,0.0,0.5,-0.8,91.82
Boston Celtics,7,3,4,2.2,6.0,1.6,3.4,45.8,0.4,1.3,33.3,2.4,3.1,77.3,1.0,1.4,2.4,0.9,0.9,0.6,0.1,2.0,0.7,105.29
Indiana Pacers,3,1,2,2.6,6.7,2.0,5.0,40.0,0.7,1.3,50.0,2.0,3.3,60.0,1.3,2.7,4.0,1.3,1.0,0.0,0.0,2.0,2.7,106.43
Orlando Magic,3,1,2,2.7,4.3,0.7,3.0,22.2,0.3,1.0,33.3,2.7,3.3,80.0,0.3,1.7,2.0,0.7,0.7,0.3,0.0,1.0,0.7,92.23
Toronto Raptors,3,1,2,1.3,1.3,0.7,2.0,33.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.3,0.3,0.0,0.0,1.3,-2.0,98.29
San Antonio Spurs,4,1,3,2.2,2.0,0.8,2.8,27.3,0.0,0.8,0.0,0.5,1.0,50.0,0.3,0.8,1.0,0.8,1.0,0.3,0.0,1.0,-3.3,89.42
Utah Jazz,3,0,3,1.9,2.3,0.7,3.7,18.2,0.0,2.3,0.0,1.0,1.3,75.0,1.0,1.0,2.0,0.7,0.7,0.0,0.0,2.3,-5.0,116.97
