Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-,Pace
Indiana Pacers,4,3,1,2.0,5.0,1.8,3.3,53.8,0.3,1.0,25.0,1.3,1.5,83.3,1.3,1.3,2.5,0.8,1.0,0.5,0.0,1.0,2.8,84.05
San Antonio Spurs,9,6,3,1.5,3.2,0.9,2.4,36.4,0.3,0.9,37.5,1.1,1.2,90.9,0.3,0.6,0.9,0.3,0.0,0.3,0.1,0.4,0.6,94.88
Chicago Bulls,5,3,2,1.5,3.4,1.2,3.2,37.5,0.2,1.0,20.0,0.8,1.2,66.7,1.2,1.0,2.2,0.6,0.2,0.2,0.4,0.8,1.4,98.28
Golden State Warriors,6,3,3,1.6,2.8,0.8,2.5,33.3,0.2,0.5,33.3,1.0,1.3,75.0,0.3,1.3,1.7,0.5,0.7,0.2,0.7,0.3,-0.5,110.45
Miami Heat,8,4,4,2.1,2.9,0.9,2.8,31.8,0.1,1.1,11.1,1.0,1.5,66.7,0.5,0.4,0.9,0.5,0.8,0.3,0.0,1.1,-2.3,87.03
Memphis Grizzlies,9,4,5,1.8,4.2,1.0,2.6,39.1,0.1,0.3,33.3,2.1,3.0,70.4,0.7,1.6,2.2,0.4,0.3,0.1,0.2,1.1,0.9,97.1
Oklahoma City Thunder,8,3,5,2.1,5.0,1.3,3.1,40.0,0.5,1.0,50.0,2.0,2.4,84.2,0.3,1.3,1.5,0.6,0.4,0.5,0.3,1.8,0.6,102.37
Brooklyn Nets,3,1,2,1.2,2.3,0.3,2.0,16.7,0.0,0.3,0.0,1.7,2.0,83.3,0.3,0.3,0.7,0.0,0.3,0.0,0.0,1.0,-0.3,123.61
Denver Nuggets,3,1,2,1.9,3.3,1.3,4.3,30.8,0.0,0.7,0.0,0.7,1.0,66.7,0.7,1.3,2.0,0.0,0.7,0.7,0.0,1.3,-0.3,128.69
Houston Rockets,3,1,2,2.2,3.0,1.0,3.0,33.3,0.3,1.7,20.0,0.7,0.7,100.0,0.0,1.7,1.7,0.3,1.0,0.0,0.0,2.0,-4.0,108.73
