Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-,Pace
Chicago Bulls,10,8,2,2.1,5.0,2.0,4.2,47.6,0.4,1.2,33.3,0.6,1.4,42.9,0.9,1.4,2.3,0.9,0.0,0.3,0.3,0.9,1.9,90.26
Miami Heat,6,4,2,1.6,2.5,0.7,2.2,30.8,0.3,1.2,28.6,0.8,1.0,83.3,0.7,1.0,1.7,0.3,1.0,0.2,0.2,0.5,0.5,81.3
Houston Rockets,8,5,3,2.0,4.8,1.5,3.3,46.2,0.6,1.1,55.6,1.1,1.8,64.3,0.6,1.5,2.1,0.9,0.9,0.1,0.1,0.8,0.9,104.04
Utah Jazz,8,4,4,2.7,6.0,2.0,4.1,48.5,0.5,1.3,40.0,1.5,2.4,63.2,1.0,2.4,3.4,1.4,0.5,0.3,0.5,1.0,0.6,90.21
Seattle SuperSonics,7,3,4,1.7,3.3,0.7,3.3,21.7,0.3,0.7,40.0,1.6,2.0,78.6,0.9,1.3,2.1,0.3,0.1,0.7,0.1,1.1,-2.3,120.98
Atlanta Hawks,3,1,2,2.2,2.7,1.0,3.3,30.0,0.3,1.7,20.0,0.3,0.7,50.0,1.0,2.0,3.0,0.3,1.3,0.0,0.7,2.3,-0.3,85.03
Los Angeles Lakers,3,1,2,2.6,7.3,1.7,4.0,41.7,0.0,0.3,0.0,4.0,4.3,92.3,0.7,1.3,2.0,1.0,0.0,0.3,0.0,1.0,1.3,96.39
New York Knicks,3,1,2,2.1,2.7,0.7,2.3,28.6,0.0,0.0,0.0,1.3,1.3,100.0,0.3,0.7,1.0,0.3,0.7,0.7,0.7,1.0,0.3,78.89
