Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-,Pace
Los Angeles Lakers,6,5,1,1.4,4.2,1.2,2.5,46.7,0.3,0.5,66.7,1.5,2.0,75.0,0.7,1.3,2.0,0.7,0.3,0.2,0.7,1.2,2.7,112.86
Dallas Mavericks,4,3,1,2.5,5.5,1.5,3.8,40.0,0.0,0.8,0.0,2.5,3.3,76.9,0.3,1.5,1.8,0.3,0.8,0.8,0.0,1.8,2.0,103.1
New York Knicks,3,2,1,1.0,3.7,0.7,1.3,50.0,0.0,0.3,0.0,2.3,2.3,100.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,1.7,116.6
Philadelphia 76ers,12,8,4,2.0,3.2,0.8,2.5,33.3,0.1,0.3,25.0,1.4,2.1,68.0,0.5,1.0,1.5,0.5,0.3,0.4,0.4,0.8,-0.4,89.71
Sacramento Kings,5,2,3,0.9,2.6,0.8,1.8,44.4,0.2,0.6,33.3,0.8,0.8,100.0,0.4,0.6,1.0,0.4,0.2,0.0,0.2,1.2,0.4,121.95
Charlotte Hornets,3,1,2,1.6,3.7,1.0,2.3,42.9,0.3,0.7,50.0,1.3,1.7,80.0,0.7,0.3,1.0,1.0,0.3,0.0,0.0,0.3,-0.3,89.1
Indiana Pacers,3,1,2,2.8,4.0,1.3,6.0,22.2,1.0,3.7,27.3,0.3,0.7,50.0,2.0,2.3,4.3,1.3,0.7,0.0,0.0,2.7,-1.0,88.57
Milwaukee Bucks,6,2,4,1.6,3.8,1.7,3.0,55.6,0.2,0.2,100.0,0.3,0.3,100.0,1.2,1.3,2.5,0.7,0.7,0.0,0.2,1.3,0.3,96.35
Phoenix Suns,3,1,2,1.0,0.7,0.0,1.0,0.0,0.0,0.3,0.0,0.7,1.0,66.7,0.3,0.3,0.7,0.0,0.0,0.0,0.0,0.3,-3.0,95.89
San Antonio Spurs,3,1,2,2.0,3.3,1.3,2.7,50.0,0.0,1.0,0.0,0.7,1.0,66.7,0.7,1.3,2.0,0.3,0.7,0.3,0.0,1.7,-0.3,85.26
Utah Jazz,3,1,2,2.8,3.7,0.3,3.0,11.1,0.0,1.0,0.0,3.0,4.0,75.0,0.3,3.0,3.3,0.0,0.7,0.3,0.0,1.3,-1.3,100.2
Toronto Raptors,7,2,5,1.4,2.6,0.9,2.0,42.9,0.1,0.3,50.0,0.7,0.7,100.0,0.7,0.7,1.4,0.1,0.4,0.0,0.0,0.6,-0.4,88.56
