Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-,Pace
Miami Heat,8,6,2,1.6,4.4,0.9,2.0,43.8,0.4,1.1,33.3,2.3,2.5,90.0,0.6,0.6,1.3,0.5,0.3,0.0,0.1,0.8,1.4,88.66
Oklahoma City Thunder,4,3,1,2.8,6.5,2.0,5.3,38.1,0.8,1.8,42.9,1.8,2.3,77.8,0.5,2.5,3.0,0.8,1.0,1.0,0.0,2.0,1.3,119.49
Los Angeles Lakers,5,3,2,1.2,3.8,1.4,3.4,41.2,0.4,1.8,22.2,0.6,0.6,100.0,0.8,0.4,1.2,0.6,0.2,0.0,0.2,0.6,-0.2,99.6
Toronto Raptors,5,3,2,1.4,2.0,0.6,2.4,25.0,0.2,1.2,16.7,0.6,0.6,100.0,0.2,1.2,1.4,0.2,0.6,0.2,0.0,0.8,-0.6,100.55
Denver Nuggets,7,4,3,1.4,3.6,1.3,2.4,52.9,0.4,0.9,50.0,0.6,0.6,100.0,0.3,0.4,0.7,0.3,0.1,0.1,0.3,0.7,-1.3,101.77
Boston Celtics,9,4,5,1.6,2.9,1.0,2.7,37.5,0.1,0.8,14.3,0.8,1.2,63.6,0.2,0.8,1.0,0.4,0.3,0.2,0.3,1.0,0.1,92.03
Houston Rockets,4,1,3,2.8,5.3,2.0,4.8,42.1,0.5,1.8,28.6,0.8,1.3,60.0,0.3,2.0,2.3,1.3,2.0,0.5,0.5,1.5,-1.3,119.49
Utah Jazz,4,1,3,1.9,6.5,2.0,2.8,72.7,0.5,1.0,50.0,2.0,2.0,100.0,0.0,1.0,1.0,0.3,0.5,0.0,0.0,0.5,2.0,96.77
