Team,Pace
Cleveland Cavaliers,95.83
Atlanta Hawks,101.94
Golden State Warriors,113.86
Washington Wizards,103.66
Chicago Bulls,104.83
Los Angeles Clippers,115.57
San Antonio Spurs,115.57
Brooklyn Nets,93.94
Houston Rockets,143.34
Memphis Grizzlies,88.10
Milwaukee Bucks,106.00
Portland Trail Blazers,88.10
Boston Celtics,45.00
Dallas Mavericks,149.61
New Orleans Pelicans,458.60
Toronto Raptors,81.51
