Team,Pace
Cleveland Cavaliers,98.31
Utah Jazz,129.51
Washington Wizards,91.68
Boston Celtics,101.78
Golden State Warriors,109.44
Houston Rockets,100.55
LA Clippers,129.51
San Antonio Spurs,89.02
Toronto Raptors,92.79
Chicago Bulls,342.86
Memphis Grizzlies,86.49
Oklahoma City Thunder,112.42
Atlanta Hawks,77.58
Indiana Pacers,90.54
Milwaukee Bucks,92.79
