Team,Pace
Golden State Warriors,108.88
Toronto Raptors,99.94
Houston Rockets,112.77
Portland Trail Blazers,106.65
Denver Nuggets,97.48
LA Clippers,118.32
Philadelphia 76ers,94.61
Boston Celtics,94.32
Milwaukee Bucks,100.90
Orlando Magic,98.86
San Antonio Spurs,98.59
Brooklyn Nets,102.18
Indiana Pacers,94.32
Oklahoma City Thunder,146.67
Utah Jazz,124.24
