Team,Pace
Toronto Raptors,101.81
Cleveland Cavaliers,92.54
Golden State Warriors,97.54
Miami Heat,94.07
Oklahoma City Thunder,103.99
Charlotte Hornets,81.03
Portland Trail Blazers,109.20
Atlanta Hawks,121.88
Boston Celtics,135.06
Dallas Mavericks,100.05
Houston Rockets,106.36
San Antonio Spurs,115.00
Detroit Pistons,78.90
Indiana Pacers,98.41
LA Clippers,114.13
