Team,Pace
Dallas Mavericks,89.57
Miami Heat,91.25
Oklahoma City Thunder,108.20
Atlanta Hawks,94.95
Chicago Bulls,111.04
Memphis Grizzlies,103.04
Boston Celtics,87.19
Portland Trail Blazers,109.02
San Antonio Spurs,115.56
Denver Nuggets,117.74
Indiana Pacers,110.10
New Orleans Hornets,102.61
Orlando Magic,94.95
Philadelphia 76ers,95.92
Los Angeles Lakers,80.38
New York Knicks,98.39
