Team,Pace
Cleveland Cavaliers,94.80
Boston Celtics,124.04
Golden State Warriors,98.99
Houston Rockets,119.33
New Orleans Pelicans,97.52
Utah Jazz,80.45
Indiana Pacers,100.49
Milwaukee Bucks,131.13
Oklahoma City Thunder,80.45
Philadelphia 76ers,119.63
Washington Wizards,94.95
Miami Heat,113.26
Minnesota Timberwolves,354.68
Portland Trail Blazers,97.52
San Antonio Spurs,136.49
Toronto Raptors,95.19
