Team,Pace
New Jersey Nets,108.56
San Antonio Spurs,106.07
Dallas Mavericks,89.48
Detroit Pistons,101.10
Los Angeles Lakers,134.16
Milwaukee Bucks,114.24
Phoenix Suns,104.94
Sacramento Kings,94.12
Boston Celtics,99.88
Indiana Pacers,90.19
Minnesota Timberwolves,155.68
New Orleans Hornets,81.89
Orlando Magic,98.92
Philadelphia 76ers,90.58
Portland Trail Blazers,85.10
Utah Jazz,117.48
