Team,Pace
Los Angeles Lakers,103.48
Boston Celtics,103.55
Detroit Pistons,109.60
Cleveland Cavaliers,93.08
San Antonio Spurs,109.32
Utah Jazz,115.23
Atlanta Hawks,101.34
Orlando Magic,103.45
Houston Rockets,140.15
New Orleans Hornets,79.56
Philadelphia 76ers,127.06
Washington Wizards,87.70
Dallas Mavericks,52.36
Denver Nuggets,96.48
Phoenix Suns,105.49
Toronto Raptors,112.81
