Player,Team,Age,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
Chris Paul,LAC,32,5,2,3,1.2,1.6,0.4,1.0,40.0,0.0,0.2,0.0,0.8,0.8,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-1.2
DeAndre Jordan,LAC,28,5,2,3,1.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.2,100,0.4,0.2,0.6,0.0,0.0,0.2,0.0,0.2,-1.0
Derrick Favors,UTA,25,5,3,2,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,50.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.2,-0.4
George Hill,UTA,31,5,3,2,1.2,0.6,0.0,0.2,0.0,0.0,0.2,0.0,0.6,0.6,100,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.4,1.4
JJ Redick,LAC,33,5,2,3,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.4
JR Smith,CLE,31,5,3,2,2.0,0.8,0.2,0.2,100,0.2,0.2,100,0.2,0.4,50.0,0.0,0.4,0.4,0.0,0.2,0.2,0.0,0.2,-0.2
Jamal Crawford,LAC,37,5,2,3,1.0,0.0,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4
Joe Ingles,UTA,29,5,3,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0
Joe Johnson,UTA,36,5,3,2,1.2,1.8,0.8,1.0,80.0,0.2,0.4,50.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.4,1.2
LeBron James,CLE,32,5,3,2,2.1,1.6,0.4,1.4,28.6,0.4,1.0,40.0,0.4,0.6,66.7,0.2,0.2,0.4,0.4,0.4,0.2,0.0,0.0,0.4
Luc Mbah a Moute,LAC,30,5,2,3,0.9,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,-1.4
Tristan Thompson,CLE,26,5,3,2,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,-0.6
Al Horford,BOS,31,4,2,2,2.1,1.0,0.5,0.8,66.7,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3
Avery Bradley,BOS,26,4,2,2,2.1,1.3,0.5,1.0,50.0,0.3,0.3,100,0.0,0.0,0.0,0.3,0.0,0.3,0.3,0.0,0.0,0.0,0.0,1.3
Bradley Beal,WAS,24,4,3,1,1.9,1.0,0.5,1.3,40.0,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.8
Eric Gordon,HOU,28,4,2,2,2.0,2.0,0.5,0.5,100,0.5,0.5,100,0.5,0.5,100,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.5,3.3
Gordon Hayward,UTA,27,4,2,2,1.3,0.8,0.3,0.8,33.3,0.0,0.0,0.0,0.3,0.3,100,0.3,0.8,1.0,0.3,0.3,0.0,0.0,0.0,0.8
Iman Shumpert,CLE,27,4,2,2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
Jae Crowder,BOS,26,4,2,2,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.5,0.0,0.3,0.0,0.3,1.3
James Harden,HOU,27,4,2,2,2.0,2.5,0.5,1.3,40.0,0.3,1.0,25.0,1.3,1.3,100,0.0,0.3,0.3,0.0,0.3,0.0,0.0,0.3,3.3
John Wall,WAS,26,4,3,1,1.9,3.0,1.0,2.0,50.0,0.3,0.5,50.0,0.8,1.0,75.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.0,0.8
