Player,Team,Age,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
Malcolm Brogdon,MIL,26,4,1,3,1.7,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.5,0.3,0.0,0.0,0.3,0.3
Maurice Harkless,POR,26,4,4,0,1.6,0.8,0.3,0.5,50.0,0.0,0.3,0.0,0.3,0.5,50.0,0.3,0.0,0.3,0.0,0.0,0.3,0.0,0.0,1.0
Serge Ibaka,TOR,29,4,4,0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5,0.0,0.0,0.0,0.0,0.3,2.3
Tobias Harris,PHI,26,4,2,2,2.2,1.3,0.3,0.3,100.0,0.0,0.0,0.0,0.8,0.8,100.0,0.0,0.5,0.5,0.3,0.5,0.3,0.0,0.3,-0.3
Torrey Craig,DEN,28,4,2,2,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Will Barton,DEN,28,4,1,3,1.9,1.3,0.5,1.0,50.0,0.3,0.5,50.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.3,0.0,0.0,0.0,3.0
DeMar DeRozan,SAS,29,3,1,2,1.2,0.7,0.3,1.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.7,0.0,0.3,0.0,0.0,0.0,-0.7
DeMarcus Cousins,GSW,28,3,2,1,1.3,0.7,0.3,0.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.7,0.0,0.0,0.7,1.7
George Hill,MIL,33,3,0,3,1.0,1.0,0.3,0.7,50.0,0.3,0.3,100.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-2.0
James Ennis III,PHI,28,3,2,1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
Jimmy Butler,PHI,29,3,1,2,1.9,1.0,0.3,0.7,50.0,0.0,0.3,0.0,0.3,0.7,50.0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,-2.0
LaMarcus Aldridge,SAS,33,3,1,2,1.2,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,100.0,0.0,0.3,0.3,0.0,0.0,0.3,0.0,0.0,-0.7
Meyers Leonard,POR,27,3,1,2,2.1,0.7,0.3,0.7,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.3,0.0,0.0,0.3,0.0,-0.7
Patty Mills,SAS,30,3,1,2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7
Quinn Cook,GSW,26,3,2,1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
Rodney Hood,POR,26,3,0,3,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.7
Rudy Gay,SAS,32,3,1,2,1.2,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7
