Player,Team,Age,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
Chris Paul,LAC,32,5,2,3,1.2,1.6,0.4,1.0,40.0,0.0,0.2,0.0,0.8,0.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-1.2
DeAndre Jordan,LAC,28,5,2,3,1.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.2,100.0,0.4,0.2,0.6,0.0,0.0,0.2,0.0,0.2,-1.0
Derrick Favors,UTA,25,5,3,2,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,50.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.2,-0.4
George Hill,UTA,31,5,3,2,1.2,0.6,0.0,0.2,0.0,0.0,0.2,0.0,0.6,0.6,100.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.4,1.4
JJ Redick,LAC,33,5,2,3,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.4
JR Smith,CLE,31,5,3,2,2.0,0.8,0.2,0.2,100.0,0.2,0.2,100.0,0.2,0.4,50.0,0.0,0.4,0.4,0.0,0.2,0.2,0.0,0.2,-0.2
Jamal Crawford,LAC,37,5,2,3,1.0,0.0,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4
Joe Ingles,UTA,29,5,3,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0
Joe Johnson,UTA,36,5,3,2,1.2,1.8,0.8,1.0,80.0,0.2,0.4,50.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.4,1.2
LeBron James,CLE,32,5,3,2,2.1,1.6,0.4,1.4,28.6,0.4,1.0,40.0,0.4,0.6,66.7,0.2,0.2,0.4,0.4,0.4,0.2,0.0,0.0,0.4
Luc Mbah a Moute,LAC,30,5,2,3,0.9,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,-1.4
Tristan Thompson,CLE,26,5,3,2,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,-0.6
Al Horford,BOS,31,4,2,2,2.1,1.0,0.5,0.8,66.7,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3
Avery Bradley,BOS,26,4,2,2,2.1,1.3,0.5,1.0,50.0,0.3,0.3,100.0,0.0,0.0,0.0,0.3,0.0,0.3,0.3,0.0,0.0,0.0,0.0,1.3
Bradley Beal,WAS,24,4,3,1,1.9,1.0,0.5,1.3,40.0,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.8
Eric Gordon,HOU,28,4,2,2,2.0,2.0,0.5,0.5,100.0,0.5,0.5,100.0,0.5,0.5,100.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.5,3.3
Gordon Hayward,UTA,27,4,2,2,1.3,0.8,0.3,0.8,33.3,0.0,0.0,0.0,0.3,0.3,100.0,0.3,0.8,1.0,0.3,0.3,0.0,0.0,0.0,0.8
Iman Shumpert,CLE,27,4,2,2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
Jae Crowder,BOS,26,4,2,2,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.5,0.0,0.3,0.0,0.3,1.3
James Harden,HOU,27,4,2,2,2.0,2.5,0.5,1.3,40.0,0.3,1.0,25.0,1.3,1.3,100.0,0.0,0.3,0.3,0.0,0.3,0.0,0.0,0.3,3.3
John Wall,WAS,26,4,3,1,1.9,3.0,1.0,2.0,50.0,0.3,0.5,50.0,0.8,1.0,75.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.0,0.8
Kevin Love,CLE,28,4,2,2,2.2,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.5,0.3,0.8,0.0,0.3,0.0,0.0,0.0,0.0
Kyrie Irving,CLE,25,4,2,2,2.5,1.5,0.8,1.8,42.9,0.0,0.8,0.0,0.0,0.0,0.0,0.3,0.5,0.8,0.0,0.0,0.3,0.3,0.3,-0.5
LaMarcus Aldridge,SAS,31,4,2,2,2.9,1.0,0.5,1.5,33.3,0.0,0.3,0.0,0.0,0.0,0.0,0.8,0.0,0.8,0.0,0.0,0.3,0.0,0.3,0.8
Marcin Gortat,WAS,33,4,3,1,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5,0.3,0.0,0.0,0.0,0.5,0.8
Marcus Smart,BOS,23,4,2,2,1.5,0.5,0.0,0.3,0.0,0.0,0.0,0.0,0.5,0.8,66.7,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.3,-0.3
Markieff Morris,WAS,27,4,3,1,1.9,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3
Otto Porter Jr.,WAS,24,4,3,1,1.9,0.8,0.3,0.5,50.0,0.3,0.3,100.0,0.0,0.0,0.0,0.0,0.8,0.8,0.3,0.0,0.0,0.0,0.0,0.8
Patrick Beverley,HOU,28,4,2,2,1.7,0.8,0.3,0.8,33.3,0.3,0.8,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.0,0.3,4.0
Patty Mills,SAS,28,4,2,2,2.8,1.0,0.0,0.3,0.0,0.0,0.3,0.0,1.0,1.5,66.7,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.3,0.5
Raymond Felton,LAC,33,4,2,2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
Trevor Ariza,HOU,32,4,2,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.3,0.0,0.0,0.0,0.0,3.3
Andre Roberson,OKC,25,3,1,2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
CJ Miles,IND,30,3,0,3,0.7,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,-2.0
Danny Green,SAS,30,3,1,2,2.1,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7
Isaiah Thomas,BOS,28,3,1,2,1.6,3.0,1.0,2.3,42.9,0.3,1.3,25.0,0.7,0.7,100.0,0.0,0.3,0.3,0.7,0.0,0.0,0.0,0.3,2.0
Jaylen Brown,BOS,20,3,2,1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7
Jeff Teague,IND,29,3,0,3,2.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,1.0,-3.3
Jerami Grant,OKC,23,3,1,2,1.4,0.7,0.3,0.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-3.7
Jonathon Simmons,SAS,27,3,1,2,1.4,0.7,0.0,0.3,0.0,0.0,0.0,0.0,0.7,0.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3
Kawhi Leonard,SAS,26,3,2,1,2.6,3.7,1.3,2.3,57.1,0.7,0.7,100.0,0.3,0.3,100.0,0.0,0.3,0.3,0.7,0.0,0.7,0.0,0.3,1.7
Kelly Olynyk,BOS,26,3,2,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
Kyle Korver,CLE,36,3,2,1,1.0,0.7,0.0,0.3,0.0,0.0,0.3,0.0,0.7,0.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.3
Myles Turner,IND,21,3,0,3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-3.3
Nene,HOU,34,3,2,1,1.3,2.0,0.7,0.7,100.0,0.0,0.0,0.0,0.7,1.0,66.7,0.3,0.3,0.7,0.0,0.0,0.0,0.0,0.3,5.7
Paul George,IND,27,3,0,3,2.0,0.0,0.0,1.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,0.3,0.0,0.0,-3.3
Russell Westbrook,OKC,28,3,1,2,1.6,1.7,0.3,1.0,33.3,0.0,0.3,0.0,1.0,2.0,50.0,0.0,0.7,0.7,0.0,0.7,0.0,0.0,0.7,-4.3
Steven Adams,OKC,23,3,1,2,1.2,0.7,0.3,0.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-6.0
Thaddeus Young,IND,29,3,0,3,1.6,1.3,0.7,0.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,-3.0
Victor Oladipo,OKC,25,3,1,2,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-4.3
