Player,Team,Age,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
James Harden,OKC,22,11,6,5,1.7,1.4,0.4,0.6,57.1,0.1,0.1,100.0,0.5,0.5,100.0,0.0,0.3,0.3,0.1,0.0,0.2,0.1,0.3,1.1
Kevin Durant,OKC,23,11,6,5,1.8,1.6,0.5,1.2,46.2,0.1,0.4,25.0,0.5,0.7,62.5,0.1,0.3,0.4,0.1,0.2,0.2,0.0,0.1,1.1
Russell Westbrook,OKC,23,11,6,5,1.8,0.5,0.3,0.6,42.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.1,0.2,0.0,0.5,1.1
Kevin Garnett,BOS,36,10,6,4,2.3,1.6,0.6,1.3,46.2,0.0,0.0,0.0,0.4,0.4,100.0,0.0,0.5,0.5,0.0,0.2,0.0,0.0,0.3,-0.4
Paul Pierce,BOS,34,10,6,4,2.2,0.9,0.2,0.7,28.6,0.1,0.2,50.0,0.4,0.4,100.0,0.0,0.0,0.0,0.3,0.1,0.0,0.1,0.4,-0.7
Kendrick Perkins,OKC,27,9,5,4,1.6,0.4,0.2,0.3,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.4,0.1,0.0,0.1,0.0,0.1,1.0
Rajon Rondo,BOS,26,9,5,4,2.6,0.7,0.3,0.8,42.9,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.4,0.8,0.1,0.1,0.0,0.3,-0.6
Ray Allen,BOS,36,9,5,4,2.4,1.4,0.3,0.6,60.0,0.3,0.3,100.0,0.4,0.6,80.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.2,-0.4
Serge Ibaka,OKC,22,9,6,3,1.6,0.4,0.1,0.3,33.3,0.0,0.0,0.0,0.2,0.2,100.0,0.2,0.0,0.2,0.0,0.0,0.0,0.1,0.1,1.1
Dwyane Wade,MIA,30,8,4,4,2.4,1.3,0.5,1.4,36.4,0.0,0.1,0.0,0.3,0.4,66.7,0.0,0.3,0.3,0.4,0.0,0.1,0.0,0.3,0.8
LeBron James,MIA,27,8,4,4,2.3,2.3,0.5,1.5,33.3,0.4,0.9,42.9,0.9,1.4,63.6,0.3,0.5,0.8,0.3,0.0,0.1,0.0,0.0,0.3
Mario Chalmers,MIA,26,8,4,4,2.4,1.0,0.4,0.6,60.0,0.1,0.4,33.3,0.1,0.1,100.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.6
Shane Battier,MIA,33,8,4,4,2.4,0.4,0.1,0.1,100.0,0.1,0.1,100.0,0.0,0.0,0.0,0.1,0.4,0.5,0.1,0.0,0.0,0.0,0.3,0.6
Thabo Sefolosha,OKC,28,8,4,4,0.8,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.1,0.0,0.0,0.3,-0.5
Andre Iguodala,PHI,28,6,5,1,2.4,1.2,0.3,0.7,50.0,0.2,0.3,50.0,0.3,0.3,100.0,0.0,0.5,0.5,0.0,0.0,0.0,0.2,0.0,3.3
Avery Bradley,BOS,21,6,3,3,1.4,0.5,0.2,0.2,100.0,0.2,0.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.0,-0.2
Derek Fisher,OKC,37,6,4,2,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Jrue Holiday,PHI,22,6,5,1,2.4,1.5,0.2,0.5,33.3,0.2,0.2,100.0,1.0,1.2,85.7,0.2,0.3,0.5,0.3,0.0,0.0,0.0,0.2,3.8
Mickael Pietrus,BOS,30,6,4,2,1.8,0.5,0.2,0.2,100.0,0.2,0.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-0.8
Andrew Bynum,LAL,24,5,2,3,2.3,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.0,-2.0
Blake Griffin,LAC,23,5,3,2,1.9,0.8,0.2,0.4,50.0,0.0,0.0,0.0,0.4,0.4,100.0,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.2,0.6
Chris Paul,LAC,27,5,3,2,2.0,2.2,0.6,1.2,50.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.2,0.2,0.4,0.2,0.2,0.0,0.2,0.6
Evan Turner,PHI,23,5,4,1,1.6,2.0,0.4,0.6,66.7,0.0,0.0,0.0,1.2,1.2,100.0,0.2,0.4,0.6,0.0,0.0,0.0,0.2,0.0,1.0
Kobe Bryant,LAL,33,5,2,3,2.3,2.0,0.2,2.2,9.1,0.0,1.2,0.0,1.6,1.6,100.0,0.0,0.4,0.4,0.2,0.2,0.0,0.0,0.2,-2.2
Lou Williams,PHI,25,5,4,1,2.3,0.6,0.2,0.6,33.3,0.0,0.2,0.0,0.2,0.2,100.0,0.0,0.0,0.0,0.4,0.2,0.0,0.0,0.0,3.2
Pau Gasol,LAL,31,5,2,3,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,1.0,0.2,0.2,0.0,0.0,0.4,-1.6
Steve Blake,LAL,32,5,2,3,2.3,0.6,0.2,0.4,50.0,0.2,0.4,50.0,0.0,0.0,0.0,0.4,0.4,0.8,0.0,0.2,0.2,0.2,0.2,-2.2
Udonis Haslem,MIA,32,5,2,3,1.7,0.6,0.2,0.4,50.0,0.0,0.0,0.0,0.2,0.4,50.0,0.4,0.2,0.6,0.0,0.0,0.0,0.0,0.6,-0.2
Chris Bosh,MIA,28,4,3,1,2.0,0.5,0.0,0.3,0.0,0.0,0.3,0.0,0.5,0.5,100.0,0.0,0.3,0.3,0.0,0.3,0.0,0.0,0.0,2.0
