Player,Team,Age,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
Dwight Howard,ORL,23,13,6,7,2.3,0.8,0.1,0.2,33.3,0.0,0.0,0.0,0.7,1.2,56.3,0.2,0.5,0.6,0.1,0.1,0.0,0.2,0.4,0.4
Hedo Turkoglu,ORL,30,13,6,7,2.3,2.0,0.7,1.4,50.0,0.3,0.6,50.0,0.3,0.3,100.0,0.0,0.4,0.4,0.3,0.1,0.1,0.1,0.5,0.8
Rashard Lewis,ORL,29,12,5,7,2.5,1.8,0.5,1.0,50.0,0.3,0.4,60.0,0.5,0.5,100.0,0.0,0.6,0.6,0.2,0.0,0.0,0.0,0.1,0.8
Rafer Alston,ORL,32,10,6,4,2.0,0.3,0.1,0.7,14.3,0.0,0.2,0.0,0.1,0.2,50.0,0.0,0.0,0.0,0.3,0.1,0.0,0.1,0.0,0.5
Courtney Lee,ORL,23,9,3,6,1.6,0.0,0.0,0.6,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3
Kendrick Perkins,BOS,24,9,4,5,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.0,0.2,0.1,0.3,0.2,-0.3
Mickael Pietrus,ORL,27,9,5,4,2.1,0.7,0.2,0.7,33.3,0.0,0.3,0.0,0.2,0.2,100.0,0.2,0.0,0.2,0.0,0.0,0.2,0.1,0.3,1.1
Paul Pierce,BOS,31,9,4,5,2.2,0.8,0.2,0.6,40.0,0.0,0.0,0.0,0.3,0.7,50.0,0.1,0.2,0.3,0.1,0.2,0.1,0.0,0.1,0.1
Rajon Rondo,BOS,23,9,4,5,2.2,1.1,0.3,0.9,37.5,0.0,0.2,0.0,0.4,0.4,100.0,0.4,0.6,1.0,0.8,0.0,0.0,0.0,0.6,0.1
Derek Fisher,LAL,34,8,5,3,2.5,0.8,0.3,0.6,40.0,0.3,0.6,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.6,0.6
Eddie House,BOS,31,8,4,4,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.1
Kobe Bryant,LAL,30,8,5,3,2.5,3.0,0.6,1.5,41.7,0.3,0.5,50.0,1.5,1.8,85.7,0.0,0.3,0.3,0.5,0.0,0.0,0.0,0.4,0.6
Lamar Odom,LAL,29,8,5,3,2.5,0.6,0.3,0.3,100.0,0.0,0.0,0.0,0.1,0.3,50.0,0.1,0.3,0.4,0.1,0.0,0.0,0.0,0.1,0.6
Pau Gasol,LAL,28,8,5,3,2.5,1.6,0.5,0.6,80.0,0.0,0.0,0.0,0.6,0.9,71.4,0.1,0.3,0.4,0.0,0.3,0.1,0.3,0.3,0.6
Ray Allen,BOS,33,8,3,5,2.1,2.1,0.6,1.3,50.0,0.5,1.0,50.0,0.4,0.5,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.1
Trevor Ariza,LAL,24,8,5,3,2.5,0.6,0.1,0.3,50.0,0.1,0.1,100.0,0.3,0.3,100.0,0.0,0.4,0.4,0.1,0.1,0.4,0.0,0.1,0.1
Glen Davis,BOS,23,7,4,3,2.4,1.9,0.3,0.9,33.3,0.0,0.0,0.0,1.3,1.4,90.0,0.0,0.4,0.4,0.0,0.1,0.0,0.0,0.3,1.1
Carmelo Anthony,DEN,25,6,2,4,2.5,1.3,0.3,1.3,25.0,0.2,0.5,33.3,0.5,0.5,100.0,0.2,0.7,0.8,0.0,0.3,0.2,0.0,0.8,-2.3
Chauncey Billups,DEN,32,6,2,4,2.5,1.8,0.2,0.7,25.0,0.2,0.3,50.0,1.3,1.5,88.9,0.0,0.3,0.3,0.2,0.2,0.0,0.0,0.0,-2.5
JR Smith,DEN,23,6,2,4,2.3,0.5,0.2,0.3,50.0,0.0,0.2,0.0,0.2,0.3,50.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.3,-1.7
Kenyon Martin,DEN,31,6,2,4,2.5,0.3,0.2,0.3,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,-2.3
Anthony Carter,DEN,34,5,1,4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-1.6
Ben Gordon,CHI,26,5,3,2,2.3,3.8,1.8,2.6,69.2,0.0,0.2,0.0,0.2,0.2,100.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,1.6
Brad Miller,CHI,33,5,3,2,1.4,0.4,0.2,0.4,50.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.2,0.0,0.0,0.0,1.6
Derrick Rose,CHI,20,5,3,2,2.5,2.0,0.6,1.0,60.0,0.0,0.0,0.0,0.8,0.8,100.0,0.2,0.2,0.4,0.2,0.2,0.0,0.0,0.8,-0.4
John Salmons,CHI,29,5,3,2,2.2,0.0,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.4,0.2,0.6,0.0,0.0,0.0,0.0,0.0,-0.4
Kirk Hinrich,CHI,28,5,3,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.2
Nene,DEN,26,5,2,3,2.6,0.8,0.4,0.6,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2,0.2,0.2,0.0,0.4,-2.0
Joakim Noah,CHI,24,4,2,2,2.1,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.8,0.0,0.0,0.0,0.0,0.5,-3.3
Linas Kleiza,DEN,24,4,0,4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
Tony Allen,BOS,27,4,1,3,1.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,-1.0
Aaron Brooks,HOU,24,3,2,1,0.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.7,75.0,0.3,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.7
Anderson Varejao,CLE,26,3,1,2,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.0,0.7,-3.0
Andre Iguodala,PHI,25,3,2,1,2.1,0.7,0.3,1.0,33.3,0.0,0.3,0.0,0.0,1.3,0.0,0.0,0.3,0.3,0.7,0.0,0.0,0.0,0.3,0.3
Andre Miller,PHI,33,3,2,1,2.1,0.3,0.0,0.7,0.0,0.0,0.0,0.0,0.3,0.3,100.0,0.0,0.3,0.3,0.3,0.0,0.0,0.3,0.3,0.3
Ben Wallace,CLE,34,3,1,2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7
Brandon Roy,POR,24,3,1,2,1.2,1.0,0.3,0.3,100.0,0.3,0.3,100.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.3,0.3,0.0,1.0,0.3
Brian Scalabrine,BOS,31,3,1,2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7,-1.0
Delonte West,CLE,25,3,1,2,2.9,1.7,0.7,1.0,66.7,0.3,0.7,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3
Dirk Nowitzki,DAL,31,3,2,1,2.0,2.7,0.7,2.7,25.0,0.0,0.7,0.0,1.3,1.3,100.0,0.0,0.7,0.7,0.3,0.0,0.0,0.0,0.0,4.0
Donyell Marshall,PHI,36,3,2,1,0.7,1.0,0.3,0.3,100.0,0.3,0.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,2.0
JJ Redick,ORL,25,3,1,2,1.7,1.3,0.3,0.3,100.0,0.3,0.3,100.0,0.3,0.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
Jason Kidd,DAL,36,3,2,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0.3,0.0,0.0,3.0
Jason Terry,DAL,31,3,2,1,2.0,1.7,0.3,0.3,100.0,0.3,0.3,100.0,0.7,1.3,50.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,3.0
Josh Howard,DAL,29,3,2,1,2.0,1.3,0.0,0.3,0.0,0.0,0.0,0.0,1.3,1.7,80.0,0.7,0.0,0.7,0.0,0.0,0.0,0.0,0.0,4.0
Kyle Lowry,HOU,23,3,2,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,2.0
LaMarcus Aldridge,POR,23,3,1,2,1.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-1.0
LeBron James,CLE,24,3,1,2,2.9,4.0,1.0,2.0,50.0,0.3,0.3,100.0,1.7,2.3,71.4,0.0,1.0,1.0,0.3,1.0,0.0,0.0,0.3,-1.3
Marcin Gortat,ORL,25,3,2,1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3
Metta World Peace,HOU,29,3,2,1,1.2,0.0,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,1.0
Mo Williams,CLE,26,3,1,2,2.8,0.7,0.3,1.3,25.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.3
Rudy Fernandez,POR,24,3,1,2,0.2,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,100.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.7,-1.7
Shane Battier,HOU,30,3,2,1,1.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,100.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,1.0
Stephon Marbury,BOS,32,3,2,1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
Steve Blake,POR,29,3,1,2,1.2,0.0,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,1.3,-1.0
Thaddeus Young,PHI,21,3,2,1,1.4,0.7,0.3,0.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
Travis Outlaw,POR,24,3,1,2,1.2,0.0,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
Tyrus Thomas,CHI,22,3,2,1,1.0,1.0,0.3,0.7,50.0,0.0,0.3,0.0,0.3,0.7,50.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.3,-3.3
Zydrunas Ilgauskas,CLE,34,3,1,2,1.7,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.3,0.7,0.3,0.0,0.0,0.0,0.3,0.0
