Player,Team,Age,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
Kevin Durant,OKC,25,8,3,5,2.0,1.5,0.5,1.0,50.0,0.0,0.5,0.0,0.5,0.6,80.0,0.1,0.3,0.4,0.1,0.5,0.1,0.0,0.3,-1.1
Russell Westbrook,OKC,25,8,3,5,2.0,2.3,0.5,1.4,36.4,0.3,0.8,33.3,1.0,1.0,100.0,0.0,0.1,0.1,0.1,0.3,0.4,0.0,0.0,-1.1
Serge Ibaka,OKC,24,8,3,5,2.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.4,0.3,-1.1
Chris Paul,LAC,29,7,3,4,1.5,0.6,0.1,0.4,33.3,0.1,0.1,100.0,0.1,0.6,25.0,0.0,0.0,0.0,0.4,0.4,0.1,0.0,0.7,1.3
Deron Williams,BKN,30,7,3,4,1.5,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.3,50.0,0.0,0.1,0.1,0.4,0.0,0.0,0.0,0.0,-2.4
Joe Johnson,BKN,33,7,3,4,1.5,0.3,0.0,0.9,0.0,0.0,0.3,0.0,0.3,0.3,100.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.3,-2.7
Shaun Livingston,BKN,28,7,3,4,0.9,0.4,0.0,0.1,0.0,0.0,0.0,0.0,0.4,0.6,75.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.7,-2.1
Blake Griffin,LAC,25,6,3,3,1.5,2.3,0.8,1.3,62.5,0.0,0.0,0.0,0.7,0.7,100.0,0.2,0.2,0.3,0.2,0.0,0.2,0.2,0.2,2.8
Bradley Beal,WAS,21,6,3,3,2.5,1.5,0.3,1.5,22.2,0.2,0.5,33.3,0.7,1.2,57.1,0.0,0.2,0.2,0.0,0.2,0.3,0.0,0.0,-0.5
Jamal Crawford,LAC,34,6,2,4,1.2,0.5,0.2,0.2,100.0,0.2,0.2,100.0,0.0,0.0,0.0,0.0,0.2,0.2,0.5,0.2,0.0,0.0,0.0,1.2
John Wall,WAS,23,6,3,3,2.5,1.2,0.2,1.0,16.7,0.0,0.3,0.0,0.8,1.2,71.4,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,-0.5
Kawhi Leonard,SAS,23,6,3,3,1.9,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.2,0.0,0.0,0.0,0.2,-1.2
Kendrick Perkins,OKC,29,6,2,4,0.8,0.3,0.2,0.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.5,0.0,0.0,0.0,0.0,0.3,-1.0
