Player,Team,Age,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
DeMar DeRozan,TOR,26,8,6,2,1.5,1.3,0.1,0.9,14.3,0.0,0.1,0.0,1.0,1.3,80.0,0.0,0.3,0.3,0.0,0.0,0.1,0.0,0.1,2.6
Dwyane Wade,MIA,34,8,3,5,2.1,2.1,0.9,1.5,58.3,0.1,0.1,100.0,0.3,0.3,100.0,0.1,0.4,0.5,0.1,0.0,0.0,0.0,0.3,-1.1
Joe Johnson,MIA,35,8,3,5,2.0,0.3,0.0,0.4,0.0,0.0,0.1,0.0,0.3,0.3,100.0,0.0,0.4,0.4,0.1,0.0,0.0,0.0,0.0,-1.1
Kyle Lowry,TOR,30,8,6,2,1.4,2.4,0.9,1.1,77.8,0.4,0.6,60.0,0.3,0.3,100.0,0.0,0.1,0.1,0.0,0.3,0.1,0.0,0.3,2.6
Cory Joseph,TOR,24,7,5,2,1.4,0.3,0.1,0.4,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,1.9
Goran Dragic,MIA,30,7,3,4,1.2,0.9,0.3,0.6,50.0,0.3,0.4,66.7,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,-0.7
Josh Richardson,MIA,22,7,2,5,1.5,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,-0.4
Luol Deng,MIA,31,7,3,4,2.2,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.0,0.1,0.6,-0.9
Andre Iguodala,GSW,32,6,3,3,2.7,0.3,0.2,0.7,25.0,0.0,0.3,0.0,0.0,0.0,0.0,0.2,0.3,0.5,0.2,0.0,0.5,0.3,0.2,0.2
Bismack Biyombo,TOR,23,6,5,1,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.7
DeMarre Carroll,TOR,29,6,4,2,1.8,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.2,100.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,2.0
Dion Waiters,OKC,24,6,3,3,2.3,0.5,0.2,0.2,100.0,0.2,0.2,100.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,-0.5
Draymond Green,GSW,26,6,3,3,2.7,0.3,0.2,0.7,25.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.7,0.8,0.3,0.3,0.0,0.2,0.7,0.2
Kevin Durant,OKC,27,6,3,3,2.4,1.0,0.3,2.2,15.4,0.0,0.3,0.0,0.3,0.3,100.0,0.0,0.7,0.7,0.0,0.5,0.0,0.2,0.0,-1.2
Klay Thompson,GSW,26,6,3,3,2.7,0.5,0.2,1.0,16.7,0.2,0.7,25.0,0.0,0.0,0.0,0.2,0.5,0.7,0.0,0.0,0.0,0.0,0.0,0.2
Russell Westbrook,OKC,27,6,3,3,2.4,1.2,0.2,1.0,16.7,0.0,0.2,0.0,0.8,0.8,100.0,0.3,0.3,0.7,0.3,1.0,0.0,0.0,0.2,-1.2
Steven Adams,OKC,22,6,3,3,2.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,100.0,0.3,0.5,0.8,0.0,0.0,0.0,0.2,0.3,-0.3
Harrison Barnes,GSW,24,5,3,2,2.3,1.0,0.4,0.4,100.0,0.2,0.2,100.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2
