Player,Team,Age,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
Andre Roberson,OKC,23,19,9,10,0.9,0.2,0.1,0.2,66.7,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,-1.7
Cody Zeller,CHA,22,19,8,11,1.1,0.1,0.1,0.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.0,0.0,0.0,0.1,0.1,-0.3
D.J. Augustin,OKC,27,19,5,14,1.1,0.3,0.1,0.2,66.7,0.1,0.1,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.2,-1.4
Devin Harris,DAL,32,19,13,6,1.1,0.4,0.1,0.2,33.3,0.0,0.1,0.0,0.3,0.4,75.0,0.1,0.2,0.3,0.3,0.0,0.1,0.0,0.2,0.8
Dion Waiters,OKC,23,19,9,10,1.3,0.3,0.1,0.3,40.0,0.1,0.1,50.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.2,-1.2
George Hill,IND,29,19,12,7,1.8,2.2,0.7,1.7,42.4,0.2,0.7,23.1,0.5,0.6,90.9,0.0,0.1,0.1,0.3,0.1,0.0,0.0,0.2,2.2
Marcus Morris Sr.,PHX,25,19,7,12,1.7,0.4,0.2,0.3,50.0,0.1,0.1,50.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.0,0.0,0.1,0.3,-1.1
Michael Kidd-Gilchrist,CHA,21,19,9,10,1.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,33.3,0.1,0.4,0.5,0.1,0.0,0.0,0.1,0.1,-0.6
Norris Cole,NOP,26,19,10,9,1.3,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.1,100,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.2,0.3
Ryan Anderson,NOP,27,19,10,9,1.5,0.5,0.1,0.5,22.2,0.1,0.4,14.3,0.2,0.3,66.7,0.1,0.1,0.2,0.1,0.0,0.0,0.0,0.1,1.6
Trevor Booker,UTA,27,19,8,11,0.7,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.1,100,0.1,0.1,0.2,0.1,0.0,0.0,0.1,0.1,-0.7
Al-Farouq Aminu,DAL,24,18,13,5,0.5,0.1,0.0,0.2,0.0,0.0,0.1,0.0,0.1,0.1,100,0.1,0.2,0.2,0.0,0.0,0.1,0.0,0.1,-0.6
Andre Iguodala,GSW,31,18,13,5,1.6,0.7,0.2,0.3,60.0,0.0,0.1,0.0,0.3,0.4,85.7,0.0,0.2,0.2,0.2,0.0,0.1,0.0,0.1,0.9
Carmelo Anthony,NYK,31,18,4,14,1.7,1.6,0.6,1.6,35.7,0.2,0.4,37.5,0.3,0.4,75.0,0.2,0.3,0.4,0.1,0.2,0.1,0.0,0.2,0.0
Darren Collison,SAC,27,18,8,10,1.7,0.9,0.3,0.5,55.6,0.0,0.1,0.0,0.4,0.5,77.8,0.0,0.1,0.1,0.2,0.2,0.0,0.0,0.2,-0.3
Donatas Motiejunas,HOU,24,18,14,4,1.6,0.4,0.2,0.3,60.0,0.0,0.1,0.0,0.1,0.1,100,0.1,0.1,0.2,0.0,0.1,0.0,0.0,0.1,-0.1
Enes Kanter,OKC,23,18,5,13,1.6,0.4,0.2,0.4,42.9,0.0,0.0,0.0,0.1,0.2,50.0,0.2,0.3,0.5,0.0,0.1,0.1,0.1,0.2,-1.3
JR Smith,CLE,29,18,8,10,1.8,0.6,0.2,0.4,57.1,0.1,0.1,50.0,0.1,0.1,100,0.0,0.3,0.3,0.0,0.1,0.1,0.0,0.2,0.5
Joe Ingles,UTA,27,18,4,14,0.5,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.1,50.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.3,-0.3
Klay Thompson,GSW,25,18,13,5,1.9,1.2,0.3,0.9,29.4,0.2,0.6,36.4,0.4,0.4,100,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,1.1
Lance Thomas,NYK,27,18,9,9,1.3,0.5,0.2,0.4,50.0,0.0,0.1,0.0,0.1,0.1,100,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.7
Nerlens Noel,PHI,21,18,6,12,1.9,0.6,0.2,0.4,50.0,0.0,0.0,0.0,0.2,0.2,100,0.1,0.3,0.3,0.1,0.2,0.1,0.1,0.4,-1.1
Robin Lopez,POR,27,18,10,8,1.3,0.4,0.2,0.3,60.0,0.0,0.0,0.0,0.1,0.1,100,0.2,0.1,0.3,0.1,0.0,0.0,0.1,0.0,0.5
