Player,Team,Age,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
John Wall,WAS,23,41,18,23,1.9,1.0,0.3,1.0,35.0,0.1,0.2,33.3,0.2,0.3,76.9,0.0,0.2,0.2,0.3,0.2,0.1,0.0,0.3,-0.3
Damian Lillard,POR,23,38,23,15,2.0,1.4,0.4,1.0,44.7,0.2,0.4,43.8,0.3,0.4,86.7,0.1,0.1,0.2,0.1,0.3,0.1,0.0,0.2,0.0
Monta Ellis,DAL,28,38,21,17,1.6,1.6,0.5,1.2,42.6,0.1,0.3,45.5,0.4,0.7,57.7,0.0,0.2,0.2,0.1,0.2,0.1,0.0,0.1,1.2
Nicolas Batum,POR,25,38,23,15,2.0,0.6,0.1,0.5,15.8,0.1,0.3,15.4,0.4,0.4,93.8,0.1,0.4,0.5,0.1,0.0,0.0,0.0,0.2,0.1
Trevor Ariza,WAS,28,38,17,21,1.8,0.3,0.1,0.4,29.4,0.1,0.3,20.0,0.0,0.1,50.0,0.1,0.3,0.4,0.1,0.1,0.1,0.0,0.2,-0.2
Wesley Matthews,POR,27,38,23,15,2.0,1.0,0.2,0.6,33.3,0.0,0.3,0.0,0.6,0.7,81.5,0.0,0.2,0.2,0.0,0.0,0.1,0.0,0.2,0.0
Klay Thompson,GSW,24,37,21,16,2.2,1.0,0.4,0.9,45.5,0.2,0.4,37.5,0.1,0.1,100,0.0,0.2,0.2,0.1,0.1,0.0,0.1,0.3,0.0
Bradley Beal,WAS,21,36,16,20,1.7,0.8,0.3,0.9,32.4,0.1,0.3,27.3,0.1,0.1,100,0.0,0.2,0.3,0.1,0.1,0.1,0.0,0.2,-0.6
Dirk Nowitzki,DAL,36,36,20,16,1.5,1.1,0.3,1.1,30.0,0.0,0.3,9.1,0.4,0.5,84.2,0.0,0.3,0.4,0.1,0.1,0.0,0.1,0.1,1.6
Gerald Henderson,CHA,26,36,19,17,1.9,0.5,0.1,0.4,25.0,0.0,0.1,0.0,0.3,0.3,90.0,0.1,0.3,0.3,0.1,0.0,0.0,0.0,0.2,-0.3
Jeff Green,BOS,27,36,12,24,1.6,1.0,0.3,0.7,42.3,0.1,0.3,33.3,0.3,0.3,91.7,0.1,0.3,0.3,0.0,0.1,0.0,0.0,0.2,-1.2
DeMar DeRozan,TOR,24,35,18,17,1.6,1.3,0.3,0.9,31.3,0.0,0.1,0.0,0.7,0.8,89.3,0.1,0.3,0.4,0.1,0.1,0.1,0.0,0.2,0.7
Josh McRoberts,CHA,27,35,18,17,1.9,0.3,0.1,0.2,37.5,0.0,0.1,0.0,0.1,0.1,100,0.1,0.2,0.3,0.1,0.1,0.1,0.0,0.3,-0.4
Paul Millsap,ATL,29,35,18,17,1.9,1.1,0.4,0.9,40.6,0.0,0.1,0.0,0.4,0.5,76.5,0.1,0.3,0.4,0.3,0.1,0.1,0.1,0.2,0.5
Robin Lopez,POR,26,35,21,14,1.9,0.4,0.1,0.2,42.9,0.0,0.0,0.0,0.3,0.3,90.0,0.2,0.3,0.5,0.1,0.1,0.0,0.2,0.0,0.1
