Player,Team,Age,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
Eric Snow,PHI,27,43,26,17,2.0,0.8,0.2,0.5,36.4,0.0,0.0,0.0,0.4,0.5,82.6,0.1,0.2,0.3,0.3,0.2,0.2,0.0,0.2,0.0
Aaron McKie,PHI,27,40,25,15,1.7,0.7,0.2,0.6,27.3,0.0,0.1,25.0,0.3,0.4,86.7,0.0,0.2,0.2,0.1,0.1,0.1,0.0,0.1,0.3
George Lynch,PHI,29,39,23,16,1.6,0.5,0.2,0.3,72.7,0.0,0.0,0.0,0.1,0.2,25.0,0.2,0.2,0.3,0.1,0.0,0.1,0.0,0.2,0.0
Keith Van Horn,NJN,24,39,11,28,1.9,1.2,0.3,0.7,44.8,0.1,0.3,40.0,0.4,0.5,89.5,0.2,0.2,0.4,0.0,0.1,0.0,0.1,0.3,-1.4
Kevin Garnett,MIN,24,39,26,13,2.0,1.8,0.6,1.1,57.1,0.0,0.0,0.0,0.5,0.8,70.0,0.2,0.5,0.6,0.0,0.2,0.0,0.1,0.3,0.7
Glenn Robinson,MIL,27,37,18,19,1.9,1.5,0.6,1.1,57.5,0.1,0.2,50.0,0.2,0.3,63.6,0.1,0.3,0.4,0.1,0.1,0.1,0.0,0.3,0.2
Shawn Kemp,CLE,30,37,18,19,1.8,1.2,0.3,0.8,41.4,0.0,0.0,0.0,0.6,0.8,73.3,0.2,0.3,0.5,0.1,0.2,0.0,0.1,0.3,0.5
Allen Iverson,PHI,25,36,21,15,2.1,1.8,0.5,1.4,37.3,0.1,0.3,30.0,0.6,1.0,65.7,0.1,0.1,0.2,0.3,0.2,0.1,0.0,0.3,-0.3
Malik Sealy,MIN,30,36,25,11,1.6,1.1,0.3,0.6,54.5,0.0,0.1,33.3,0.4,0.4,86.7,0.1,0.2,0.3,0.1,0.0,0.1,0.0,0.1,1.0
Ray Allen,MIL,24,36,17,19,1.9,1.5,0.4,0.9,47.1,0.1,0.2,28.6,0.6,0.7,83.3,0.1,0.1,0.3,0.1,0.1,0.1,0.0,0.3,0.1
Sam Cassell,MIL,30,36,18,18,1.9,0.9,0.3,0.6,42.9,0.1,0.2,33.3,0.3,0.4,85.7,0.1,0.1,0.1,0.5,0.1,0.1,0.0,0.4,0.3
Stephon Marbury,NJN,23,36,12,24,2.0,1.7,0.6,1.4,42.9,0.0,0.2,14.3,0.5,0.7,75.0,0.0,0.1,0.1,0.1,0.3,0.0,0.0,0.5,-1.5
Bob Sura,CLE,27,35,16,19,1.7,1.0,0.3,0.7,43.5,0.1,0.3,50.0,0.3,0.5,64.7,0.0,0.3,0.4,0.2,0.0,0.1,0.1,0.3,0.5
Antoine Walker,BOS,23,34,14,20,1.7,0.6,0.2,0.8,22.2,0.0,0.1,20.0,0.3,0.4,60.0,0.2,0.4,0.6,0.2,0.1,0.1,0.0,0.3,-0.1
Ervin Johnson,MIL,32,34,17,17,1.5,0.1,0.0,0.1,50.0,0.0,0.0,0.0,0.1,0.2,50.0,0.1,0.3,0.4,0.1,0.1,0.0,0.1,0.2,-0.1
Jerry Stackhouse,DET,25,34,15,19,1.8,1.4,0.3,0.6,42.9,0.1,0.1,50.0,0.8,1.0,84.8,0.1,0.2,0.3,0.1,0.1,0.1,0.0,0.2,-0.7
Kenny Anderson,BOS,29,34,14,20,1.7,1.2,0.4,0.8,46.4,0.0,0.1,25.0,0.4,0.5,93.8,0.0,0.1,0.2,0.2,0.1,0.1,0.0,0.2,0.0
Michael Dickerson,VAN,25,34,10,24,2.0,0.8,0.2,0.6,30.0,0.0,0.1,20.0,0.4,0.5,87.5,0.0,0.2,0.2,0.1,0.2,0.1,0.0,0.3,-0.7
Mike Bibby,VAN,22,34,10,24,1.9,0.3,0.1,0.6,14.3,0.0,0.1,0.0,0.1,0.2,62.5,0.0,0.1,0.1,0.4,0.1,0.1,0.0,0.2,-0.6
Shareef Abdur-Rahim,VAN,23,34,10,24,1.9,1.4,0.3,0.8,37.0,0.0,0.1,0.0,0.8,1.0,78.8,0.1,0.5,0.6,0.0,0.1,0.0,0.1,0.3,-0.5
Juwan Howard,WAS,27,33,12,21,1.7,0.9,0.3,0.5,61.1,0.0,0.0,0.0,0.2,0.3,63.6,0.1,0.3,0.4,0.1,0.2,0.0,0.0,0.3,-0.4
