Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-,Pace
Washington Wizards,44,29,15,1.6,4.9,1.6,3.0,52.7,0.3,0.7,50.0,1.5,1.7,84.2,0.4,1.1,1.5,0.6,0.3,0.3,0.2,0.7,1.7,106.12
Portland Trail Blazers,40,18,22,1.8,4.3,1.1,2.7,41.1,0.2,0.7,22.2,1.9,2.3,83.5,0.4,1.5,1.9,0.4,0.7,0.2,0.2,1.1,-0.4,117.13
Boston Celtics,38,24,14,2.0,5.7,1.6,3.7,42.6,0.5,1.3,37.3,2.1,2.4,86.7,0.6,1.2,1.8,0.8,0.4,0.2,0.2,1.1,0.6,107.07
Sacramento Kings,37,18,19,2.1,4.6,1.4,3.4,41.9,0.3,1.2,25.0,1.5,2.1,72.7,0.5,1.5,2.0,0.9,0.6,0.3,0.3,1.3,0.1,103.81
Charlotte Hornets,36,15,21,1.5,4.1,1.4,2.8,50.5,0.6,1.3,46.7,0.7,0.9,80.6,0.4,0.9,1.3,0.8,0.3,0.0,0.4,0.7,0.0,104.83
Memphis Grizzlies,35,18,17,1.8,3.7,1.1,2.9,39.2,0.3,1.3,27.3,1.1,1.4,74.0,0.5,1.2,1.7,0.7,0.3,0.4,0.1,1.0,-0.1,99.53
Minnesota Timberwolves,34,10,24,1.8,3.2,1.0,3.2,30.0,0.2,1.0,20.6,1.1,1.6,66.7,0.6,1.3,1.9,0.6,0.4,0.3,0.1,0.9,-1.1,102.37
Toronto Raptors,34,19,15,1.9,4.6,1.7,3.7,47.2,0.2,0.9,25.0,0.9,1.3,64.4,0.5,1.3,1.8,0.6,0.4,0.2,0.2,0.9,0.7,98.31
Atlanta Hawks,33,18,15,1.7,4.0,1.2,2.7,45.5,0.2,0.8,25.9,1.3,1.5,89.8,0.3,1.3,1.5,0.8,0.3,0.3,0.2,0.8,-0.1,107.74
Oklahoma City Thunder,33,21,12,2.1,5.5,1.9,4.0,46.6,0.5,1.3,39.5,1.3,1.8,71.2,0.5,1.7,2.2,0.5,0.4,0.4,0.3,1.1,1.4,107.42
Chicago Bulls,32,16,16,1.9,4.4,1.5,3.5,42.3,0.3,1.0,25.0,1.2,1.4,88.6,0.4,1.0,1.5,0.6,0.2,0.4,0.3,1.2,0.3,102.23
Miami Heat,32,13,19,1.8,3.0,1.0,2.9,34.0,0.3,0.9,31.0,0.8,1.0,72.7,0.5,1.0,1.5,0.4,0.7,0.3,0.1,1.1,-1.3,105.91
Milwaukee Bucks,32,17,15,1.9,3.8,1.3,3.1,43.0,0.2,0.8,24.0,0.9,1.3,71.4,0.3,1.3,1.7,0.6,0.6,0.2,0.3,0.6,0.4,101.32
New Orleans Pelicans,32,17,15,1.8,3.6,1.1,3.4,33.3,0.2,0.8,24.0,1.2,1.7,71.7,0.6,1.6,2.2,0.5,0.4,0.3,0.3,0.9,0.3,105.71
Indiana Pacers,31,18,13,1.8,3.5,1.1,2.7,42.2,0.2,0.8,23.1,1.1,1.5,73.3,0.2,1.5,1.6,0.5,0.3,0.3,0.4,0.8,0.2,98.08
Brooklyn Nets,30,8,22,1.5,2.9,0.8,2.2,38.5,0.4,1.1,34.4,0.9,0.9,92.9,0.2,0.7,0.9,0.5,0.6,0.3,0.2,1.5,-2.7,118.77
Dallas Mavericks,30,13,17,1.9,3.9,1.2,2.7,45.7,0.4,1.2,34.3,1.0,1.4,72.1,0.1,1.1,1.3,0.6,0.6,0.3,0.0,0.8,-0.4,107.33
Philadelphia 76ers,30,16,14,2.3,6.1,1.7,3.7,46.8,0.5,1.3,39.5,2.1,2.6,81.8,0.4,1.9,2.3,1.0,1.0,0.2,0.3,1.4,0.8,112.95
