Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-,Pace
Washington Wizards,41,18,23,1.9,3.3,1.2,3.4,35.5,0.3,0.9,28.9,0.7,0.9,73.7,0.5,1.4,1.8,0.6,0.5,0.3,0.2,1.0,-0.3,99.93
Boston Celtics,39,12,27,1.7,2.8,0.9,2.8,31.8,0.2,0.9,20.0,0.8,1.1,78.6,0.5,1.1,1.6,0.4,0.6,0.2,0.2,1.2,-1.4,101.97
Portland Trail Blazers,39,24,15,2.0,4.5,1.1,3.4,32.1,0.3,1.2,24.4,2.0,2.3,87.8,0.6,1.3,1.9,0.5,0.5,0.2,0.3,0.8,0.1,105.65
Atlanta Hawks,38,19,19,1.9,4.3,1.3,3.1,43.1,0.4,0.9,38.9,1.3,1.5,87.5,0.5,1.2,1.7,0.8,0.5,0.3,0.2,1.0,0.4,99.47
Dallas Mavericks,38,21,17,1.6,3.8,1.1,3.0,37.2,0.3,0.9,28.6,1.3,1.8,73.9,0.6,1.3,1.9,0.5,0.6,0.3,0.3,0.8,1.2,117.46
Charlotte Bobcats,37,20,17,1.9,3.9,1.2,3.5,33.8,0.1,0.8,10.7,1.4,1.7,81.3,0.6,1.5,2.1,0.4,0.4,0.2,0.2,1.0,-0.3,104.4
Golden State Warriors,37,21,16,2.3,4.5,1.5,3.8,40.3,0.4,1.3,32.7,1.1,1.4,75.5,0.5,1.4,1.9,0.8,0.5,0.4,0.2,1.4,0.2,97.87
New Orleans Pelicans,37,17,20,1.9,3.4,1.1,3.1,36.8,0.2,0.8,25.0,1.0,1.2,81.8,0.5,1.0,1.5,0.4,0.5,0.3,0.3,1.3,-1.2,101.52
Toronto Raptors,37,19,18,1.7,3.7,1.2,3.1,39.8,0.2,0.7,25.9,1.1,1.3,81.6,0.6,1.3,1.9,0.5,0.4,0.2,0.1,1.3,0.5,101.9
Phoenix Suns,36,17,19,1.7,3.7,1.3,3.0,41.3,0.2,0.9,25.8,1.0,1.3,76.6,0.5,1.0,1.5,0.6,0.4,0.4,0.1,0.8,0.3,101.65
Memphis Grizzlies,35,25,10,1.7,3.7,1.2,2.7,44.8,0.2,0.8,29.6,1.0,1.3,76.1,0.4,1.3,1.7,0.5,0.4,0.3,0.3,0.5,1.5,98.68
Minnesota Timberwolves,34,12,22,1.4,2.6,0.6,2.1,29.6,0.1,0.7,21.7,1.2,1.6,75.5,0.3,0.9,1.2,0.5,0.4,0.1,0.0,1.2,-1.4,112.72
Brooklyn Nets,33,16,17,1.9,3.6,1.1,3.0,35.0,0.3,0.9,29.0,1.2,1.7,73.2,0.2,1.3,1.6,0.5,0.4,0.4,0.1,1.3,-0.4,108.35
Cleveland Cavaliers,33,17,16,1.5,2.8,1.0,2.6,37.6,0.1,0.5,17.6,0.7,1.0,75.0,0.5,1.0,1.5,0.4,0.6,0.1,0.2,1.0,-0.5,107.68
Miami Heat,33,18,15,1.9,4.1,1.1,2.5,44.6,0.4,0.9,41.4,1.5,1.9,80.6,0.2,1.2,1.4,0.5,0.4,0.3,0.2,0.8,0.5,98.84
Milwaukee Bucks,33,10,23,1.7,3.3,0.8,2.8,29.7,0.2,0.7,34.8,1.4,1.8,78.0,0.5,1.1,1.6,0.4,0.4,0.2,0.3,0.9,-0.9,102.04
Los Angeles Clippers,32,18,14,1.7,3.8,1.1,2.7,40.2,0.2,0.7,33.3,1.4,1.9,72.6,0.3,1.3,1.6,0.4,0.3,0.3,0.3,1.0,0.4,106.32
Oklahoma City Thunder,32,18,14,2.0,4.6,1.2,3.4,34.5,0.5,1.2,38.5,1.8,2.1,83.8,0.6,1.8,2.3,0.5,0.3,0.2,0.3,1.4,0.4,104.79
Houston Rockets,31,19,12,1.8,4.2,1.2,3.1,37.5,0.3,0.8,30.8,1.6,2.3,70.8,0.7,1.2,2.0,0.5,0.7,0.4,0.2,1.0,0.3,109.49
Sacramento Kings,31,11,20,1.7,3.2,0.9,2.6,34.1,0.2,0.7,27.3,1.2,1.4,88.4,0.4,1.1,1.5,0.4,0.5,0.3,0.2,1.5,-1.1,109.53
Denver Nuggets,30,13,17,1.8,3.6,1.0,3.2,31.3,0.2,1.3,15.4,1.4,2.1,65.6,0.6,1.4,2.0,0.5,0.5,0.2,0.2,1.5,-0.4,106.31
Orlando Magic,30,10,20,1.8,3.4,1.0,3.0,34.8,0.1,0.7,15.0,1.2,1.5,78.3,0.3,1.3,1.6,0.5,0.5,0.3,0.1,1.3,-1.1,110.96
New York Knicks,29,11,18,2.1,4.2,1.2,3.4,34.3,0.4,1.4,30.0,1.4,1.7,85.7,0.7,1.1,1.9,0.6,0.7,0.5,0.3,1.2,0.3,95.77
Indiana Pacers,28,20,8,1.7,4.6,1.1,2.9,39.5,0.3,1.0,31.0,2.0,2.5,78.6,0.5,1.1,1.6,0.5,0.3,0.2,0.3,0.8,1.7,104.94
Detroit Pistons,26,9,17,1.7,2.5,0.7,3.0,24.1,0.2,1.0,16.0,0.9,1.3,69.7,0.5,0.9,1.4,0.2,0.6,0.2,0.3,0.9,-1.3,94.3
Philadelphia 76ers,25,13,12,1.6,3.8,1.2,2.5,46.8,0.2,0.6,33.3,1.2,1.9,66.0,0.3,1.1,1.4,0.8,0.4,0.3,0.2,0.9,0.4,110.64
Utah Jazz,25,15,10,1.9,4.7,1.5,3.0,50.7,0.4,0.7,50.0,1.3,1.6,80.5,0.3,1.4,1.7,0.6,0.9,0.3,0.3,1.5,0.4,115.19
Los Angeles Lakers,24,11,13,1.7,3.3,0.8,2.4,35.1,0.3,0.9,31.8,1.3,1.7,75.6,0.3,1.6,1.8,0.5,0.5,0.3,0.3,1.0,0.3,108.32
San Antonio Spurs,24,19,5,1.5,4.6,1.6,2.9,55.7,0.5,0.8,55.0,0.9,1.2,78.6,0.4,0.9,1.3,1.2,0.3,0.2,0.2,0.5,2.0,105.31
Chicago Bulls,23,12,11,2.2,3.8,1.2,3.4,34.2,0.3,0.9,33.3,1.1,1.5,74.3,0.6,1.3,1.9,0.7,0.8,0.3,0.3,1.2,0.1,97.04
