Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-,Pace
Boston Celtics,43,18,25,1.9,3.8,1.1,3.0,37.8,0.1,0.6,15.4,1.4,2.1,67.4,0.7,1.3,2.0,0.4,0.6,0.3,0.2,1.5,-0.6,107.34
Atlanta Hawks,42,15,27,2.1,3.9,1.3,3.4,37.8,0.3,0.8,31.4,1.0,1.5,68.8,0.7,1.1,1.8,0.6,0.6,0.3,0.2,1.8,-1.0,102.44
Chicago Bulls,42,21,21,1.8,4.3,1.2,3.3,36.7,0.3,0.8,35.3,1.6,2.0,81.7,0.5,1.5,2.0,0.6,0.3,0.1,0.3,1.2,0.3,112.73
Toronto Raptors,41,15,26,2.1,4.7,1.3,3.5,36.8,0.4,1.3,34.6,1.7,2.0,82.9,0.7,1.2,1.9,0.6,0.4,0.2,0.2,1.0,0.0,97.62
Minnesota Timberwolves,40,15,25,1.6,3.1,1.0,2.4,40.0,0.1,0.3,15.4,1.2,1.6,74.6,0.4,0.8,1.2,0.6,0.5,0.3,0.2,1.0,-1.1,106.49
Milwaukee Bucks,38,25,13,1.7,4.2,1.3,2.9,44.1,0.2,0.6,28.6,1.4,1.9,74.3,0.3,1.4,1.7,0.7,0.2,0.2,0.1,1.1,0.7,102.94
Cleveland Cavaliers,36,20,16,1.8,4.9,1.3,2.6,51.1,0.2,0.5,36.8,2.1,2.9,70.5,0.4,1.1,1.5,0.8,0.3,0.3,0.3,1.5,-0.1,110.43
Philadelphia 76ers,36,19,17,1.7,3.6,0.9,2.9,33.0,0.1,0.6,9.5,1.7,2.1,79.2,0.4,1.3,1.8,0.4,0.6,0.3,0.3,1.1,-0.6,115.87
Golden State Warriors,35,13,22,2.0,4.4,1.3,3.5,38.0,0.5,1.3,34.0,1.3,1.8,72.6,0.7,1.1,1.8,0.7,0.5,0.2,0.1,1.8,-0.9,103.8
Memphis Grizzlies,35,18,17,1.9,4.1,1.2,3.2,37.2,0.4,1.1,37.8,1.3,1.7,75.0,0.7,1.1,1.8,0.6,0.4,0.2,0.3,1.1,0.1,99.09
Portland Trail Blazers,35,15,20,1.7,3.1,1.0,2.4,42.2,0.1,0.4,21.4,1.0,1.4,72.0,0.3,0.9,1.2,0.4,0.5,0.1,0.1,1.5,-1.2,104.44
Washington Wizards,35,15,20,1.9,3.9,1.3,3.2,40.7,0.2,0.6,31.8,1.1,1.5,72.2,0.4,1.2,1.6,0.5,0.5,0.4,0.2,1.1,-0.5,105.46
Houston Rockets,34,15,19,1.8,3.9,1.2,2.8,42.6,0.2,0.6,36.4,1.3,1.7,78.9,0.4,1.1,1.5,0.6,0.7,0.3,0.3,1.4,-0.1,105.77
Los Angeles Lakers,34,13,21,1.7,3.8,1.2,2.7,43.5,0.2,0.8,30.8,1.2,1.5,78.8,0.4,0.8,1.2,0.4,0.4,0.3,0.1,1.3,-0.7,101.8
Charlotte Bobcats,33,14,19,1.8,3.6,1.2,2.9,41.7,0.1,0.6,14.3,1.1,1.7,64.9,0.4,1.0,1.5,0.4,0.3,0.3,0.2,1.3,-0.2,99.8
Dallas Mavericks,32,22,10,1.9,4.2,1.2,3.1,39.4,0.2,0.6,31.6,1.6,2.3,67.6,0.5,1.4,1.9,0.6,0.3,0.3,0.4,1.2,0.5,100.73
Indiana Pacers,32,11,21,1.9,3.5,1.1,3.1,34.0,0.1,0.8,11.1,1.3,1.9,66.7,0.5,1.3,1.8,0.4,0.5,0.4,0.2,1.4,-0.7,103.85
