Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-,Pace
Sacramento Kings,42,24,18,1.9,3.8,1.1,3.0,37.5,0.2,0.7,23.3,1.3,1.7,80.0,0.4,1.5,1.9,0.6,0.5,0.3,0.2,1.3,0.8,97.44
Miami Heat,40,24,16,1.8,3.6,1.0,2.6,39.4,0.3,1.1,26.7,1.3,1.8,70.8,0.4,1.1,1.4,0.6,0.5,0.3,0.2,0.9,0.3,103.91
Boston Celtics,39,19,20,1.8,3.5,0.8,2.3,36.0,0.2,0.7,30.8,1.7,2.3,73.9,0.3,1.2,1.5,0.6,0.5,0.2,0.2,1.4,-0.6,106.82
Indiana Pacers,39,20,19,1.8,3.2,0.9,2.9,30.4,0.2,0.8,21.9,1.2,1.5,82.8,0.6,1.1,1.7,0.5,0.5,0.1,0.3,1.2,-0.5,92.31
Denver Nuggets,38,25,13,2.0,4.5,1.2,2.9,42.0,0.4,0.9,40.0,1.7,2.3,71.6,0.4,1.6,1.9,0.7,0.3,0.2,0.3,1.2,1.1,100.07
Phoenix Suns,37,24,13,1.7,4.1,1.2,2.6,45.9,0.1,0.5,23.5,1.6,2.2,72.8,0.4,1.3,1.7,0.7,0.5,0.3,0.4,1.0,1.3,105.6
Orlando Magic,36,18,18,1.7,3.2,1.0,3.0,32.7,0.3,0.7,38.5,1.0,1.3,75.0,0.4,0.9,1.3,0.6,0.5,0.2,0.3,1.1,-0.2,99.59
Seattle SuperSonics,36,20,16,1.7,4.1,1.1,2.7,42.3,0.2,0.6,27.3,1.6,2.1,78.7,0.6,1.2,1.8,0.7,0.4,0.1,0.3,1.1,0.6,105.5
Los Angeles Clippers,35,13,22,2.0,3.6,1.1,3.1,34.6,0.3,0.9,28.1,1.2,1.8,66.7,0.6,1.3,1.9,0.5,0.6,0.3,0.2,1.5,-0.7,99.97
Los Angeles Lakers,35,23,12,1.5,3.7,1.2,2.6,47.3,0.2,0.5,35.3,1.0,1.6,64.3,0.4,0.9,1.3,0.7,0.3,0.1,0.2,1.2,0.6,109.27
Houston Rockets,34,18,16,2.0,4.1,1.3,3.2,39.1,0.2,0.9,23.3,1.4,1.9,73.4,0.6,1.4,2.0,0.7,0.4,0.2,0.2,1.4,0.3,98.39
