Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-,Pace
Indiana Pacers,48,21,27,2.0,4.7,1.5,3.5,43.5,0.3,1.0,34.0,1.3,1.7,77.1,0.5,1.1,1.6,0.6,0.6,0.3,0.2,1.1,-0.2,105.81
Detroit Pistons,43,20,23,1.8,4.0,1.3,3.3,37.5,0.2,0.8,24.2,1.3,1.7,76.0,0.7,0.9,1.6,0.7,0.4,0.3,0.1,1.5,-0.1,100.69
San Antonio Spurs,42,27,15,2.1,4.0,1.3,3.1,41.7,0.2,0.6,38.5,1.1,1.5,73.8,0.4,1.4,1.8,0.6,0.7,0.3,0.1,0.8,0.2,98.24
Charlotte Bobcats,38,15,23,1.9,3.3,1.0,3.1,33.1,0.1,0.7,19.2,1.1,1.5,73.2,0.7,1.2,1.9,0.5,0.3,0.3,0.2,1.5,-1.0,98.75
Miami Heat,38,21,17,2.0,5.0,1.3,3.2,42.5,0.2,0.7,25.9,2.1,2.7,77.9,0.5,1.2,1.8,0.7,0.4,0.4,0.4,1.1,0.8,107.23
Atlanta Hawks,37,22,15,1.4,3.3,1.0,2.3,44.7,0.4,0.6,56.5,0.9,1.3,72.3,0.3,0.6,0.9,0.5,0.3,0.2,0.2,0.8,0.6,100.84
Philadelphia 76ers,37,20,17,2.2,5.2,1.5,3.1,49.1,0.2,0.5,36.8,1.9,2.4,80.0,0.2,1.5,1.7,0.7,0.5,0.4,0.4,1.0,0.5,101.86
Boston Celtics,35,20,15,2.1,4.1,1.4,3.2,42.5,0.2,0.5,36.8,1.2,1.6,75.0,0.3,1.2,1.6,0.7,0.3,0.1,0.3,1.1,0.3,91.78
Chicago Bulls,35,18,17,1.9,4.5,1.5,3.5,41.5,0.2,0.7,34.8,1.3,1.7,75.4,0.7,1.7,2.4,0.5,0.5,0.1,0.5,0.9,1.0,100.19
Milwaukee Bucks,35,18,17,1.6,3.3,0.9,2.3,40.2,0.2,0.6,27.3,1.3,1.6,80.4,0.3,1.0,1.4,0.5,0.5,0.1,0.2,1.1,-0.3,103.02
Minnesota Timberwolves,35,14,21,2.1,4.2,1.4,3.4,40.0,0.4,1.1,35.1,1.1,1.5,72.5,0.5,1.0,1.6,0.6,0.7,0.3,0.1,1.4,-1.2,101.98
New York Knicks,34,13,21,1.7,3.6,1.0,2.8,35.4,0.3,0.9,31.0,1.4,1.5,90.4,0.4,1.0,1.4,0.4,0.4,0.2,0.1,1.0,-0.7,102.05
