Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-,Pace
Houston Rockets,49,19,30,1.9,3.7,1.0,3.2,31.0,0.2,0.9,28.6,1.4,1.7,83.1,0.5,1.0,1.5,0.4,0.5,0.2,0.2,1.5,-0.6,104.31
Boston Celtics,45,27,18,1.7,3.6,1.0,2.7,35.8,0.3,1.0,32.6,1.3,1.8,73.4,0.5,1.1,1.6,0.6,0.5,0.4,0.2,1.2,0.2,99.59
Miami Heat,43,21,22,1.9,3.1,1.0,3.1,31.8,0.2,0.7,32.1,0.9,1.2,76.9,0.5,1.2,1.7,0.6,0.4,0.2,0.3,1.0,-0.7,92.43
New York Knicks,41,16,25,1.9,3.2,0.8,2.8,27.8,0.1,0.7,21.4,1.5,2.1,72.9,0.5,1.2,1.8,0.3,0.5,0.2,0.1,1.1,-0.8,104.58
Phoenix Suns,40,18,22,2.0,4.0,1.5,3.6,40.8,0.3,0.9,27.0,0.9,1.1,75.6,0.7,1.1,1.8,0.8,0.5,0.4,0.2,1.2,-0.2,95.04
Indiana Pacers,37,16,21,1.7,3.6,1.1,2.4,44.8,0.2,0.7,34.6,1.2,1.6,78.0,0.2,1.1,1.3,0.5,0.5,0.3,0.3,1.0,-0.1,101.83
Toronto Raptors,37,23,14,2.1,4.2,1.2,3.4,35.5,0.1,0.6,18.2,1.7,2.4,71.3,0.7,1.5,2.3,0.6,0.7,0.2,0.2,1.3,0.5,99.21
Detroit Pistons,36,23,13,2.0,5.0,1.3,3.1,40.7,0.4,1.1,34.1,2.0,2.6,76.8,0.5,1.4,1.9,0.6,0.6,0.3,0.3,1.1,1.1,106.06
Milwaukee Bucks,36,21,15,1.8,4.8,1.1,2.7,41.8,0.4,1.2,37.2,2.1,2.4,86.4,0.4,1.1,1.5,0.7,0.5,0.4,0.2,1.4,1.4,104.36
Charlotte Hornets,35,14,21,1.9,3.3,1.1,3.3,33.6,0.2,0.7,26.9,0.9,1.3,70.5,0.6,1.2,1.8,0.6,0.3,0.3,0.3,1.4,-0.6,93.09
Atlanta Hawks,34,18,16,2.2,4.7,1.2,3.2,38.9,0.3,0.9,31.3,2.0,2.4,83.8,0.5,1.6,2.1,0.7,0.7,0.3,0.3,1.4,1.0,100.7
New Jersey Nets,34,20,14,1.9,4.1,1.3,3.3,38.4,0.4,0.9,40.0,1.2,1.7,71.2,0.6,1.2,1.8,0.6,0.5,0.1,0.4,1.4,0.1,100.75
San Antonio Spurs,34,19,15,2.0,4.1,0.9,2.8,33.3,0.4,0.9,40.0,1.9,2.5,76.5,0.5,1.5,2.0,0.6,0.4,0.1,0.2,1.1,0.6,102.32
Chicago Bulls,33,15,18,2.0,4.0,1.2,2.8,41.9,0.2,0.5,41.2,1.4,1.9,73.0,0.4,1.2,1.6,0.7,0.6,0.4,0.2,1.9,-0.2,101.23
Denver Nuggets,33,16,17,2.2,4.3,1.5,4.2,35.5,0.3,1.2,24.4,1.0,1.4,70.2,0.8,1.5,2.2,0.7,0.5,0.3,0.3,1.5,-0.2,101.53
Philadelphia 76ers,33,16,17,1.8,2.8,0.7,2.4,29.1,0.0,0.5,0.0,1.4,1.6,85.2,0.6,0.9,1.6,0.4,0.5,0.3,0.1,1.2,-0.8,94.46
Utah Jazz,32,14,18,1.8,3.9,1.1,2.9,38.0,0.2,0.5,29.4,1.5,2.1,73.1,0.6,1.4,1.9,0.6,0.6,0.2,0.3,1.2,-0.1,104.21
Memphis Grizzlies,31,14,17,1.9,3.7,1.1,2.9,38.5,0.2,0.6,26.3,1.3,1.7,78.8,0.6,1.2,1.9,0.6,0.9,0.3,0.4,1.5,-0.5,107.11
Portland Trail Blazers,31,18,13,1.7,4.2,1.3,2.8,45.5,0.4,1.1,37.1,1.2,1.6,70.6,0.4,0.7,1.1,0.7,0.3,0.2,0.3,1.0,0.3,99.55
Los Angeles Clippers,30,13,17,2.0,4.4,1.2,3.1,38.3,0.1,0.4,30.8,1.9,2.7,70.4,0.8,1.3,2.1,0.6,0.7,0.3,0.3,1.3,0.7,105.35
Los Angeles Lakers,30,18,12,1.9,4.0,1.2,3.2,36.8,0.2,0.8,28.0,1.4,2.1,65.6,0.6,1.2,1.8,0.6,0.5,0.3,0.2,1.1,0.7,101.19
Minnesota Timberwolves,30,15,15,2.1,3.8,1.2,3.2,37.5,0.1,0.6,21.1,1.2,1.7,74.0,0.4,1.2,1.7,0.8,0.5,0.2,0.3,1.0,-0.6,94.95
Seattle SuperSonics,30,10,20,2.1,3.1,0.9,3.4,27.5,0.1,0.8,12.0,1.2,1.8,64.8,0.8,1.6,2.4,0.3,0.4,0.3,0.3,1.5,-1.4,95.74
Dallas Mavericks,29,19,10,1.9,4.1,1.2,3.1,39.6,0.4,1.1,34.4,1.2,1.5,81.4,0.5,1.4,1.9,0.7,0.4,0.1,0.3,1.3,-0.3,100.51
Cleveland Cavaliers,28,11,17,1.7,3.4,0.9,2.9,30.5,0.2,0.7,31.6,1.4,1.8,76.0,0.8,1.1,1.9,0.4,0.4,0.4,0.1,1.5,-1.1,107.21
Washington Wizards,28,15,13,1.8,3.9,1.2,3.1,39.1,0.1,0.4,18.2,1.4,1.5,90.7,0.6,1.1,1.7,0.6,0.2,0.2,0.1,1.1,0.2,99.66
Golden State Warriors,23,6,17,1.7,3.0,0.9,2.8,30.8,0.0,0.4,11.1,1.2,1.6,75.0,0.7,1.0,1.7,0.3,0.7,0.4,0.3,1.5,-1.3,106.67
Orlando Magic,22,12,10,2.2,5.0,1.5,3.5,43.6,0.4,1.0,36.4,1.5,1.6,91.7,0.4,1.5,1.9,0.8,0.5,0.3,0.3,1.5,1.0,96.49
Sacramento Kings,22,16,6,1.9,5.0,1.4,3.3,41.1,0.1,0.5,27.3,2.1,2.9,74.6,0.7,1.5,2.2,0.6,0.2,0.1,0.2,0.9,2.5,101.23
