Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-,Pace
Denver Nuggets,38,27,11,1.5,3.9,1.3,2.8,47.2,0.2,0.8,28.1,1.0,1.3,77.6,0.4,0.9,1.3,0.7,0.5,0.1,0.2,0.5,1.4,109.6
Memphis Grizzlies,36,14,22,1.6,3.3,1.0,2.7,37.1,0.3,1.1,31.6,1.0,1.3,74.5,0.3,1.0,1.3,0.5,0.4,0.2,0.2,1.1,-0.9,108.46
Miami Heat,36,17,19,1.8,3.8,1.3,3.5,37.6,0.3,1.5,18.5,0.9,1.3,68.1,0.6,1.0,1.7,0.6,0.6,0.4,0.2,1.3,-0.1,106.51
Sacramento Kings,36,16,20,1.8,4.4,1.2,2.9,40.6,0.3,0.9,31.3,1.8,2.1,83.1,0.4,1.0,1.4,0.5,0.3,0.3,0.1,1.0,-0.2,109.22
Los Angeles Lakers,34,16,18,1.4,3.5,1.0,2.6,40.2,0.4,1.1,31.6,1.1,1.4,73.5,0.6,1.0,1.6,0.5,0.4,0.2,0.1,0.9,0.1,102.18
New Orleans Pelicans,34,13,21,1.6,3.1,1.0,2.8,35.1,0.1,0.9,16.7,1.0,1.5,70.0,0.4,1.2,1.6,0.5,0.3,0.2,0.1,1.0,-0.8,111.51
Oklahoma City Thunder,34,13,21,1.7,4.2,1.1,3.0,38.2,0.4,1.5,28.0,1.5,1.9,81.3,0.5,1.3,1.7,0.5,0.5,0.2,0.1,1.4,-0.6,117.03
Philadelphia 76ers,34,21,13,1.8,5.2,1.4,2.9,48.0,0.6,1.3,43.2,1.9,2.4,76.8,0.5,1.2,1.7,0.9,0.6,0.3,0.1,0.9,0.6,113.45
Detroit Pistons,32,17,15,1.8,4.7,1.5,3.3,45.8,0.3,0.9,36.7,1.3,1.5,85.7,0.8,1.2,1.9,0.5,0.6,0.3,0.1,1.3,0.0,111.06
Houston Rockets,32,17,15,1.5,4.0,1.1,2.7,41.2,0.5,1.3,34.9,1.3,1.6,82.4,0.5,0.9,1.4,0.4,0.3,0.3,0.3,0.9,0.7,109.04
Orlando Magic,32,16,16,1.9,4.1,1.4,3.1,44.4,0.3,1.2,28.9,1.0,1.4,71.1,0.3,1.4,1.7,0.9,0.7,0.3,0.3,1.1,-0.7,105.94
San Antonio Spurs,32,19,13,1.9,4.1,1.3,3.2,41.7,0.3,0.8,36.0,1.2,1.5,77.1,0.4,1.0,1.4,0.6,0.5,0.3,0.1,0.8,-0.3,98.16
Boston Celtics,31,16,15,1.7,5.2,1.6,3.0,53.3,0.5,1.2,42.1,1.5,1.7,88.5,0.4,1.1,1.5,0.6,0.4,0.2,0.2,0.9,0.5,113.77
Brooklyn Nets,31,18,13,1.8,4.8,1.5,3.5,41.7,0.7,1.5,43.8,1.2,1.6,72.5,0.6,1.0,1.6,0.8,0.5,0.2,0.1,1.0,0.1,111.45
Dallas Mavericks,31,13,18,2.2,4.8,1.5,3.9,37.7,0.3,1.4,23.3,1.5,2.3,68.6,0.6,1.6,2.2,0.5,0.4,0.2,0.2,1.1,-0.7,108.76
Milwaukee Bucks,31,17,14,1.5,4.1,1.3,2.5,53.9,0.5,1.1,51.5,0.9,1.2,75.0,0.2,1.0,1.3,0.8,0.5,0.4,0.2,1.0,0.3,107.36
Toronto Raptors,31,17,14,2.1,4.8,1.7,3.8,44.5,0.4,1.3,30.0,1.0,1.2,86.1,0.4,1.2,1.6,0.8,0.5,0.3,0.3,1.1,-0.1,107.65
Charlotte Hornets,30,13,17,2.0,5.0,1.5,3.9,37.9,0.5,1.9,27.6,1.5,1.9,80.7,0.7,1.4,2.1,0.7,0.4,0.1,0.3,1.1,-0.3,105.43
