Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-,Pace
Oklahoma City Thunder,43,29,14,1.6,4.1,1.2,2.7,43.6,0.2,0.6,33.3,1.6,2.0,78.8,0.4,1.3,1.7,0.5,0.3,0.2,0.3,0.9,0.6,109.97
Houston Rockets,41,16,25,1.7,3.0,0.9,2.6,34.3,0.1,0.7,16.7,1.2,1.6,75.0,0.4,1.0,1.4,0.5,0.3,0.1,0.1,1.3,-1.1,98.8
New Orleans Hornets,39,23,16,1.8,3.6,1.1,2.8,38.9,0.2,0.6,25.0,1.3,1.8,75.4,0.6,1.3,1.8,0.6,0.3,0.4,0.2,1.1,0.7,95.08
Sacramento Kings,39,15,24,1.7,3.5,0.9,2.7,33.0,0.2,0.6,30.4,1.6,1.9,81.3,0.5,1.3,1.8,0.4,0.6,0.1,0.2,1.2,-0.6,107.73
Dallas Mavericks,38,26,12,1.7,4.7,1.3,2.7,50.0,0.4,0.8,56.7,1.6,1.9,79.7,0.5,1.3,1.8,0.7,0.6,0.2,0.2,1.0,1.9,97.83
Boston Celtics,37,21,16,2.0,4.2,1.3,3.2,40.2,0.2,0.7,29.6,1.5,1.9,78.3,0.4,1.3,1.8,0.9,0.5,0.4,0.2,0.9,0.7,96.97
Memphis Grizzlies,37,18,19,2.1,4.8,1.6,3.2,49.6,0.2,0.5,30.0,1.5,2.1,71.1,0.5,1.6,2.1,0.7,0.7,0.2,0.2,1.1,0.8,101.52
New Jersey Nets,37,17,20,1.9,4.0,1.2,3.0,40.0,0.2,0.6,33.3,1.4,1.8,77.9,0.4,1.2,1.6,0.6,0.5,0.2,0.3,1.3,-0.5,105.15
Philadelphia 76ers,37,13,24,1.7,3.4,1.0,2.7,37.0,0.2,0.6,40.9,1.1,1.4,80.8,0.4,0.8,1.2,0.5,0.5,0.2,0.1,1.2,-1.1,102.49
Portland Trail Blazers,37,21,16,1.5,3.1,0.9,2.4,40.2,0.1,0.5,29.4,1.1,1.4,73.6,0.5,0.9,1.4,0.5,0.4,0.3,0.2,1.0,-0.4,100.76
Charlotte Bobcats,36,21,15,2.0,4.4,1.4,3.1,43.8,0.1,0.9,15.6,1.6,2.0,77.8,0.4,1.5,2.0,0.8,0.4,0.3,0.3,1.2,0.4,106.89
Milwaukee Bucks,36,17,19,1.7,2.9,0.8,3.0,26.6,0.1,0.7,15.4,1.2,1.7,73.3,0.7,1.2,1.8,0.3,0.7,0.3,0.2,0.9,-0.3,100.67
Utah Jazz,36,20,16,1.8,4.1,1.3,3.0,43.9,0.1,0.4,33.3,1.4,1.8,78.1,0.6,1.2,1.8,0.6,0.5,0.3,0.2,1.4,0.2,104.84
