Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-,Pace
Indiana Pacers,41,19,22,2.1,3.9,1.1,3.4,33.3,0.1,0.9,15.8,1.5,2.1,70.9,0.5,1.5,2.0,0.3,0.5,0.3,0.2,0.9,0.0,101.19
Minnesota Timberwolves,40,18,22,1.8,4.2,1.0,2.8,35.5,0.2,0.7,26.9,2.0,2.4,84.4,0.5,1.4,1.9,0.6,0.4,0.2,0.2,1.4,-0.1,113.29
Chicago Bulls,38,21,17,1.9,3.9,1.1,2.9,39.1,0.3,0.8,40.6,1.3,1.7,76.2,0.2,1.6,1.8,0.6,0.5,0.1,0.4,1.0,0.4,102.92
Denver Nuggets,37,19,18,1.6,3.5,1.0,2.4,40.9,0.1,0.8,13.8,1.5,2.2,67.9,0.3,1.2,1.5,0.5,0.4,0.3,0.2,1.2,0.2,105.53
Houston Rockets,37,21,16,1.9,3.9,0.9,2.9,32.7,0.4,1.5,26.8,1.6,2.2,72.0,0.5,1.4,1.9,0.5,0.6,0.2,0.2,1.5,-0.1,104.01
Oklahoma City Thunder,37,18,19,1.7,4.4,1.5,3.4,44.8,0.4,1.0,34.2,1.0,1.2,81.8,0.5,1.4,1.9,0.5,0.5,0.2,0.3,1.1,0.5,111.84
Dallas Mavericks,36,16,20,2.1,3.7,1.1,3.2,34.5,0.3,1.3,22.9,1.2,1.5,79.6,0.3,1.3,1.6,0.6,0.4,0.3,0.2,0.9,-0.8,101.04
LA Clippers,34,21,13,1.8,5.1,1.4,3.1,45.2,0.4,1.1,34.2,1.9,2.4,82.5,0.3,1.3,1.6,0.8,0.3,0.3,0.2,1.5,0.6,117.51
Orlando Magic,34,13,21,2.1,4.2,1.4,4.0,34.6,0.4,1.1,33.3,1.1,1.4,78.7,0.4,1.6,2.1,0.6,0.7,0.4,0.2,1.4,-0.6,111.8
Toronto Raptors,34,18,16,1.7,4.7,1.4,3.3,40.7,0.2,0.9,20.7,1.8,2.1,85.9,0.4,1.2,1.6,0.4,0.4,0.2,0.1,1.8,0.7,114.36
Memphis Grizzlies,33,22,11,1.9,4.5,1.2,3.2,38.5,0.2,0.8,29.6,1.8,2.4,75.9,0.7,1.2,1.9,0.5,0.6,0.2,0.2,1.0,0.6,106.39
New York Knicks,33,13,20,1.8,4.1,1.2,3.1,40.2,0.3,1.0,30.3,1.3,1.4,93.3,0.4,1.2,1.6,0.5,0.5,0.1,0.2,1.2,-0.6,103.86
Utah Jazz,33,12,21,2.1,4.5,1.4,3.4,41.6,0.3,1.0,32.4,1.4,2.0,68.2,0.5,1.1,1.6,0.6,0.5,0.1,0.2,1.6,-1.6,105.5
