Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-,Pace
Chicago Bulls,27,11,16,1.5,4.1,1.2,2.7,44.4,0.6,1.3,44.1,1.1,1.3,86.1,0.3,0.9,1.2,0.6,0.4,0.2,0.3,1.3,-0.3,118.72
Memphis Grizzlies,27,14,13,1.7,4.4,1.4,3.0,47.6,0.3,0.9,32.0,1.3,1.8,70.8,0.4,1.1,1.5,0.6,0.5,0.4,0.2,0.6,0.6,108.61
Toronto Raptors,27,8,19,1.6,3.6,1.0,2.6,40.0,0.4,1.3,35.3,1.1,1.4,78.9,0.2,0.8,1.0,0.8,0.3,0.1,0.3,1.6,-1.1,107.68
Los Angeles Lakers,26,18,8,1.6,3.6,1.3,3.3,41.2,0.4,1.4,27.8,0.5,0.7,72.2,0.5,1.0,1.5,0.6,0.3,0.3,0.3,0.8,0.3,98.0
Miami Heat,26,13,13,1.6,3.3,1.1,2.9,38.7,0.2,1.1,20.7,0.8,1.0,88.0,0.4,1.3,1.7,0.6,0.5,0.3,0.2,0.9,0.5,101.52
Atlanta Hawks,25,10,15,1.7,2.9,0.8,2.5,31.7,0.3,1.0,32.0,1.0,1.1,89.3,0.2,1.2,1.4,0.6,0.5,0.2,0.2,1.0,-1.7,107.29
Charlotte Hornets,25,15,10,1.7,3.9,1.2,2.9,43.1,0.6,1.6,35.9,0.8,1.3,65.6,0.4,1.3,1.7,0.7,0.5,0.2,0.2,1.0,0.5,102.46
Golden State Warriors,25,12,13,1.9,4.4,1.5,3.5,42.5,0.4,1.4,27.8,1.0,1.3,78.8,0.6,1.4,2.0,0.8,0.6,0.2,0.3,1.0,-1.2,109.59
Dallas Mavericks,24,13,11,1.5,4.2,1.2,2.5,47.5,0.5,1.3,40.6,1.2,1.4,87.9,0.3,0.8,1.0,0.5,0.2,0.1,0.1,0.7,0.2,101.89
Philadelphia 76ers,24,17,7,1.6,4.3,1.3,2.8,47.8,0.4,1.0,36.0,1.3,1.5,83.3,0.5,1.3,1.8,0.7,0.7,0.2,0.3,0.6,1.3,106.7
Detroit Pistons,23,5,18,1.8,3.3,0.8,2.4,33.9,0.2,1.0,20.8,1.4,2.3,60.4,0.6,1.3,1.9,0.5,0.7,0.2,0.1,1.6,-2.4,111.8
LA Clippers,23,9,14,1.3,2.9,0.8,2.2,35.3,0.3,1.3,26.7,1.0,1.1,84.6,0.3,0.9,1.2,0.5,0.4,0.2,0.1,1.5,-0.9,121.14
Oklahoma City Thunder,22,13,9,1.7,4.3,1.2,3.1,39.1,0.4,1.2,29.6,1.5,1.8,84.6,0.4,1.2,1.6,0.5,0.4,0.2,0.1,0.8,0.5,109.64
Orlando Magic,22,11,11,1.7,4.2,1.4,2.8,49.2,0.4,1.1,36.0,1.0,1.2,85.2,0.3,1.5,1.8,0.7,0.6,0.3,0.2,1.0,0.5,111.2
Cleveland Cavaliers,21,8,13,1.8,3.5,1.0,2.3,43.8,0.3,0.9,31.6,1.2,1.7,74.3,0.2,1.1,1.3,0.5,1.0,0.3,0.2,1.0,-0.5,101.52
Utah Jazz,21,10,11,1.5,3.5,1.1,2.8,39.0,0.4,1.3,29.6,1.0,1.1,87.0,0.4,1.0,1.4,0.4,0.4,0.2,0.1,1.0,0.1,105.56
Houston Rockets,20,7,13,1.6,3.8,1.0,2.8,33.9,0.2,0.9,22.2,1.7,1.9,86.8,0.6,1.5,2.0,0.3,0.5,0.2,0.3,1.2,0.7,114.7
Milwaukee Bucks,20,10,10,2.2,5.5,1.7,3.8,44.7,0.5,1.5,34.5,1.6,1.9,81.6,0.6,1.8,2.3,0.7,0.6,0.3,0.5,0.8,0.9,103.78
