Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-,Pace
Boston Celtics,36,15,21,1.7,3.6,1.2,2.9,41.0,0.3,1.1,25.6,0.9,1.2,75.0,0.3,1.2,1.5,0.4,0.5,0.3,0.2,1.1,-0.6,115.12
New Orleans Pelicans,33,15,18,1.8,4.1,1.3,3.2,41.1,0.3,1.1,25.0,1.2,1.5,77.6,0.5,1.1,1.6,0.8,0.6,0.4,0.1,1.2,-0.2,108.12
Phoenix Suns,33,21,12,1.9,4.1,1.2,3.5,35.3,0.4,1.4,28.3,1.2,1.7,73.2,0.6,1.1,1.7,0.5,0.3,0.2,0.2,1.0,-0.1,101.54
Indiana Pacers,32,16,16,1.6,3.1,1.1,2.8,39.3,0.3,0.9,37.9,0.5,0.7,77.3,0.3,0.9,1.2,0.4,0.4,0.3,0.1,1.1,-1.0,109.49
Minnesota Timberwolves,32,14,18,1.7,4.3,1.3,3.0,43.8,0.4,1.1,38.9,1.3,1.6,82.0,0.2,1.3,1.4,0.8,0.4,0.3,0.2,1.0,0.1,116.43
Washington Wizards,32,17,15,2.1,5.6,1.7,4.0,42.2,0.3,1.2,26.3,1.9,2.2,87.0,0.5,1.7,2.2,0.9,0.5,0.2,0.1,1.2,0.1,115.47
Brooklyn Nets,31,20,11,1.6,4.6,1.2,2.7,44.0,0.3,1.1,27.3,1.9,2.2,86.8,0.3,1.3,1.5,0.5,0.3,0.2,0.1,1.1,1.6,115.15
Portland Trail Blazers,31,19,12,1.8,5.2,1.6,3.6,43.8,0.5,1.7,31.5,1.5,1.7,84.9,0.4,1.1,1.5,0.6,0.3,0.3,0.2,1.5,0.6,114.67
San Antonio Spurs,31,12,19,1.8,4.5,1.3,2.9,46.1,0.2,0.7,26.1,1.6,1.9,86.4,0.5,1.3,1.7,0.4,0.4,0.1,0.1,1.0,-0.2,107.01
New York Knicks,30,16,14,1.9,4.0,1.2,3.2,36.1,0.3,0.9,35.7,1.3,1.6,81.3,0.4,1.2,1.5,0.4,0.6,0.6,0.2,1.2,0.4,111.58
Sacramento Kings,30,18,12,1.9,5.3,1.7,3.7,44.6,0.4,1.5,27.3,1.6,2.1,75.8,0.6,1.0,1.6,0.7,0.5,0.3,0.2,1.6,0.5,116.64
Denver Nuggets,29,17,12,1.8,4.4,1.4,2.8,50.6,0.5,0.9,51.9,1.1,1.4,78.0,0.3,1.0,1.3,0.8,0.3,0.3,0.3,0.9,0.7,101.2
