Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-,Pace
Houston Rockets,40,21,19,1.3,3.0,0.8,2.0,42.3,0.2,0.6,36.0,1.1,1.4,83.3,0.5,0.8,1.3,0.5,0.4,0.2,0.1,0.6,0.5,97.95
Charlotte Bobcats,38,17,21,2.0,3.8,1.2,3.1,38.7,0.3,0.8,35.5,1.1,1.5,75.0,0.7,1.3,2.0,0.5,0.6,0.1,0.3,1.4,-0.2,98.08
Milwaukee Bucks,38,23,15,2.0,4.5,1.3,3.7,34.3,0.3,1.1,27.9,1.7,2.3,72.4,0.7,1.4,2.1,0.4,0.4,0.3,0.3,1.0,1.0,105.9
New Orleans Hornets,37,22,15,1.9,4.4,1.5,3.0,48.6,0.2,0.9,28.1,1.2,1.6,75.4,0.4,1.2,1.5,0.7,0.4,0.2,0.2,1.3,0.2,100.35
Philadelphia 76ers,37,12,25,1.9,3.3,1.0,2.7,36.0,0.2,0.8,31.0,1.1,1.7,63.5,0.5,1.2,1.7,0.5,0.5,0.2,0.1,1.4,-1.3,99.69
Memphis Grizzlies,36,19,17,2.1,3.9,1.2,3.4,35.5,0.2,0.5,31.6,1.3,1.9,71.6,0.7,1.5,2.1,0.6,0.6,0.3,0.4,1.1,0.0,97.45
Detroit Pistons,34,15,19,1.6,3.1,0.8,2.6,28.9,0.1,0.5,11.8,1.5,2.0,75.0,0.6,1.1,1.6,0.3,0.3,0.3,0.1,1.2,-0.6,102.1
Dallas Mavericks,33,22,11,1.5,3.8,1.1,2.5,42.2,0.2,0.5,50.0,1.5,1.9,77.4,0.4,0.9,1.3,0.7,0.2,0.2,0.3,0.8,0.7,103.19
Oklahoma City Thunder,33,15,18,1.8,3.3,1.1,2.7,38.9,0.2,0.7,21.7,1.1,1.3,79.5,0.4,1.4,1.8,0.5,0.8,0.2,0.4,1.2,0.2,100.44
Portland Trail Blazers,33,18,15,1.8,4.2,1.1,2.6,41.4,0.2,0.7,25.0,1.8,2.4,74.7,0.5,1.2,1.8,0.5,0.5,0.2,0.1,1.1,0.7,100.31
Golden State Warriors,32,10,22,1.7,3.1,0.8,2.6,32.1,0.2,1.2,18.4,1.2,1.7,70.9,0.4,1.0,1.4,0.3,0.3,0.3,0.3,1.7,-1.2,106.41
Sacramento Kings,32,14,18,1.6,3.8,1.1,2.7,41.9,0.2,0.5,31.3,1.4,2.0,67.7,0.7,1.2,1.9,0.5,0.4,0.2,0.2,1.3,-0.2,108.66
Washington Wizards,32,12,20,2.1,4.2,1.4,3.7,37.6,0.2,0.9,16.7,1.3,1.8,71.2,0.8,1.4,2.2,0.4,0.7,0.2,0.3,1.7,-0.3,104.16
Chicago Bulls,31,17,14,1.8,3.6,1.2,3.1,38.5,0.0,0.4,7.7,1.2,1.8,64.9,0.6,1.3,1.8,0.3,0.4,0.2,0.4,1.2,-0.6,106.47
Miami Heat,31,18,13,2.2,5.1,1.7,3.8,44.1,0.3,1.2,26.3,1.4,1.9,74.1,0.5,1.6,2.1,0.7,0.3,0.3,0.5,1.4,0.7,101.6
New York Knicks,31,14,17,1.9,3.6,1.1,3.0,36.2,0.1,0.9,13.8,1.3,1.7,74.1,0.5,1.1,1.6,0.5,0.5,0.4,0.1,0.9,-0.3,101.37
Boston Celtics,30,19,11,2.0,4.5,1.3,3.2,41.7,0.4,0.8,47.8,1.5,2.1,72.6,0.4,1.3,1.7,1.0,0.6,0.4,0.3,1.0,0.8,100.11
Cleveland Cavaliers,30,19,11,2.1,5.0,1.3,3.6,36.7,0.4,1.3,30.0,1.9,2.8,69.9,0.5,1.6,2.1,0.5,0.3,0.3,0.3,1.1,0.6,108.86
Toronto Raptors,30,19,11,1.8,4.7,1.2,3.0,40.0,0.3,1.0,26.7,2.1,2.5,81.6,0.5,1.2,1.7,0.4,0.3,0.1,0.3,0.8,0.8,107.78
Phoenix Suns,29,15,14,1.8,4.7,1.5,3.1,48.3,0.3,1.0,33.3,1.4,1.8,77.4,0.6,0.9,1.4,0.8,0.4,0.2,0.1,1.2,0.4,102.97
