Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-,Pace
Indiana Pacers,40,18,22,1.9,4.3,1.3,3.3,40.8,0.3,1.0,26.8,1.4,1.6,84.4,0.5,1.4,1.9,0.6,0.3,0.2,0.2,1.2,0.5,102.47
Phoenix Suns,39,19,20,1.9,4.5,1.5,3.2,46.3,0.2,0.8,19.4,1.5,1.8,82.6,0.6,1.2,1.8,0.6,0.6,0.3,0.2,1.4,-0.2,107.05
Los Angeles Lakers,38,14,24,1.7,3.4,0.9,2.9,31.2,0.2,0.7,25.0,1.4,1.7,84.4,0.3,1.2,1.6,0.3,0.2,0.1,0.2,1.2,-0.9,105.22
Boston Celtics,37,19,18,1.8,4.5,1.4,3.4,41.7,0.4,1.1,37.5,1.3,1.5,83.9,0.6,1.1,1.8,0.8,0.5,0.3,0.1,1.4,0.1,107.11
Orlando Magic,37,16,21,1.8,4.1,1.4,3.3,41.8,0.3,0.8,39.3,1.0,1.4,74.5,0.5,1.0,1.5,0.6,0.4,0.3,0.2,1.0,-0.2,101.11
Milwaukee Bucks,36,16,20,1.6,2.9,1.0,2.7,36.1,0.3,0.8,33.3,0.8,1.1,69.2,0.5,1.3,1.8,0.4,0.5,0.1,0.2,0.7,-0.6,100.42
Chicago Bulls,34,24,10,1.5,3.9,0.9,2.5,38.1,0.3,0.8,42.3,1.7,2.0,86.8,0.5,1.1,1.6,0.6,0.4,0.2,0.2,0.7,1.2,104.48
Dallas Mavericks,33,23,10,1.6,4.2,1.3,2.9,45.8,0.2,0.8,18.5,1.4,1.8,77.0,0.5,1.2,1.6,0.6,0.5,0.2,0.1,1.1,0.9,114.41
New Orleans Pelicans,33,19,14,1.9,4.6,1.5,3.0,49.0,0.3,0.7,43.5,1.4,1.7,80.4,0.3,1.2,1.6,0.8,0.5,0.3,0.3,1.0,0.6,101.22
Los Angeles Clippers,32,19,13,1.3,3.2,0.8,2.0,40.0,0.2,0.6,25.0,1.4,1.8,80.4,0.4,1.0,1.4,0.4,0.5,0.2,0.2,1.0,0.6,110.95
Memphis Grizzlies,32,22,10,1.9,4.9,1.5,3.3,46.2,0.3,0.6,50.0,1.6,2.0,76.9,0.5,1.3,1.8,0.8,0.4,0.3,0.3,0.8,1.6,98.42
New York Knicks,32,10,22,1.7,3.3,1.2,2.9,39.8,0.4,1.0,38.7,0.7,0.8,80.8,0.3,1.1,1.4,0.6,0.4,0.2,0.1,1.1,0.0,95.62
Oklahoma City Thunder,32,12,20,1.8,3.3,1.0,3.5,29.2,0.3,1.2,20.5,1.0,1.2,81.6,0.4,1.4,1.8,0.5,0.3,0.2,0.3,1.3,-1.5,109.87
Toronto Raptors,32,17,15,2.4,5.2,1.8,4.3,40.6,0.3,1.0,29.0,1.4,1.7,80.0,0.8,1.3,2.2,0.7,0.3,0.3,0.3,1.1,-0.3,97.9
Utah Jazz,32,13,19,1.7,3.6,1.0,3.2,32.0,0.1,0.6,10.5,1.5,1.9,75.8,0.8,1.4,2.2,0.3,0.5,0.2,0.3,1.3,-0.2,111.44
Charlotte Hornets,31,12,19,1.9,3.5,1.0,3.0,33.0,0.2,0.9,25.0,1.3,1.8,72.7,0.4,1.3,1.7,0.3,0.4,0.3,0.2,1.1,-0.5,105.34
Detroit Pistons,31,10,21,1.7,3.3,1.1,3.0,38.0,0.3,1.1,22.9,0.7,1.4,53.5,0.4,1.0,1.5,0.5,0.2,0.4,0.1,1.5,-1.3,106.76
Portland Trail Blazers,31,17,14,1.9,4.2,1.3,3.4,39.4,0.2,1.2,18.9,1.4,1.8,75.0,0.7,1.4,2.1,0.5,0.4,0.4,0.2,1.2,-0.1,106.02
Washington Wizards,31,15,16,1.9,4.0,1.3,3.1,41.1,0.2,0.8,28.0,1.3,1.7,72.2,0.5,1.5,2.0,0.5,0.6,0.2,0.1,1.1,0.5,102.45
Denver Nuggets,30,14,16,1.7,3.7,1.3,2.9,44.2,0.3,0.9,30.8,0.9,1.2,72.2,0.4,0.8,1.2,0.9,0.5,0.1,0.2,1.1,-0.5,104.16
