Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-,Pace
Philadelphia 76ers,43,26,17,2.1,4.3,1.3,3.5,36.9,0.1,0.4,27.8,1.6,2.3,70.7,0.6,1.1,1.8,0.7,0.5,0.5,0.2,1.2,0.0,102.86
Cleveland Cavaliers,41,18,23,1.9,4.1,1.1,2.8,40.7,0.3,0.7,46.4,1.6,2.2,71.9,0.4,1.2,1.6,0.8,0.7,0.3,0.3,1.3,0.1,107.49
Minnesota Timberwolves,41,27,14,1.9,4.9,1.5,3.2,47.7,0.1,0.4,27.8,1.8,2.2,78.3,0.5,1.1,1.6,1.0,0.5,0.3,0.2,1.4,0.5,107.82
New Jersey Nets,41,12,29,2.0,4.0,1.3,3.2,40.8,0.2,0.7,33.3,1.2,1.6,75.8,0.5,1.1,1.6,0.5,0.6,0.2,0.2,1.7,-1.5,107.57
Milwaukee Bucks,38,19,19,1.9,4.8,1.6,3.2,48.8,0.2,0.6,37.5,1.5,1.8,81.4,0.5,1.2,1.7,0.9,0.6,0.3,0.2,1.5,0.2,106.65
Washington Wizards,35,13,22,1.6,3.6,1.0,2.5,39.1,0.1,0.6,19.0,1.5,2.1,70.7,0.4,1.2,1.6,0.5,0.6,0.2,0.1,1.2,-0.4,111.84
Boston Celtics,34,14,20,1.7,3.8,1.0,2.9,35.7,0.3,0.7,39.1,1.4,1.8,79.0,0.6,1.2,1.8,0.6,0.4,0.4,0.2,1.2,-0.2,107.1
Dallas Mavericks,34,17,17,1.8,4.5,1.6,3.2,48.6,0.4,0.8,48.1,1.0,1.4,74.5,0.6,1.1,1.7,0.9,0.4,0.1,0.2,1.2,0.9,96.73
Detroit Pistons,34,15,19,1.8,4.0,1.0,3.0,33.3,0.2,0.8,22.2,1.8,2.2,83.8,0.5,0.9,1.4,0.4,0.4,0.4,0.1,1.5,-0.7,112.5
Toronto Raptors,34,21,13,1.9,5.0,1.4,3.2,44.5,0.3,0.6,45.5,1.8,2.3,77.2,0.6,1.4,1.9,0.9,0.6,0.4,0.4,1.5,1.3,108.12
Vancouver Grizzlies,34,10,24,2.0,3.7,0.9,2.8,33.3,0.1,0.5,17.6,1.7,2.4,72.5,0.6,1.4,2.0,0.5,0.9,0.3,0.2,1.7,-0.8,108.51
Charlotte Hornets,33,20,13,1.7,4.0,1.0,2.3,44.2,0.2,0.4,41.7,1.8,2.2,81.9,0.4,1.0,1.4,0.8,0.6,0.3,0.3,0.9,0.8,102.58
New York Knicks,32,22,10,2.1,4.3,1.2,3.4,35.5,0.2,0.7,31.8,1.6,2.2,73.2,0.6,1.3,1.9,0.8,0.4,0.4,0.1,1.3,0.8,102.02
Portland Trail Blazers,32,20,12,2.0,5.6,1.8,3.7,49.6,0.2,0.6,35.0,1.8,2.2,80.0,0.5,1.4,1.9,1.3,0.4,0.3,0.4,1.3,1.9,107.5
San Antonio Spurs,32,17,15,1.9,3.7,1.2,2.6,44.0,0.2,0.6,27.8,1.2,1.9,62.3,0.3,1.3,1.5,0.6,0.6,0.2,0.1,0.9,-0.3,102.94
