Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
Los Angeles Lakers,8,7,1,2.0,4.8,1.0,2.0,50.0,0.0,0.3,0.0,2.8,4.1,66.7,0.3,1.6,1.9,0.5,0.6,0.4,0.8,0.6,2.1
Miami Heat,6,4,2,2.5,3.8,1.3,4.8,27.6,0.3,1.2,28.6,0.8,0.8,100,0.8,1.5,2.3,0.8,0.3,0.5,0.3,1.2,0.5
Utah Jazz,3,2,1,1.6,3.3,1.0,3.0,33.3,0.0,0.7,0.0,1.3,3.0,44.4,0.3,0.7,1.0,0.7,0.0,0.3,0.0,0.7,0.0
New York Knicks,11,7,4,2.3,4.6,1.0,2.7,36.7,0.2,0.5,33.3,2.5,2.6,93.1,0.4,1.5,1.9,0.5,0.3,0.1,0.1,1.0,0.3
Portland Trail Blazers,7,4,3,1.8,4.4,1.3,2.6,50.0,0.1,0.6,25.0,1.7,2.4,70.6,0.4,1.4,1.9,0.4,0.7,0.1,0.0,1.6,0.6
Charlotte Hornets,2,1,1,1.5,2.0,1.0,2.5,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.5,0.0,0.0,0.5,0.0,1.5,-1.5
Philadelphia 76ers,4,2,2,1.6,2.8,0.8,1.5,50.0,0.0,0.0,0.0,1.3,1.8,71.4,0.5,1.3,1.8,0.3,0.8,0.0,0.0,0.3,0.5
Phoenix Suns,4,2,2,2.8,5.5,1.8,5.0,35.0,0.3,1.0,25.0,1.8,2.0,87.5,0.5,1.5,2.0,1.0,0.3,1.0,0.0,2.0,-0.3
Indiana Pacers,11,5,6,1.6,3.0,1.0,2.9,34.4,0.4,0.9,40.0,0.6,1.3,50.0,0.5,1.0,1.5,0.5,0.3,0.1,0.3,1.4,0.5
Detroit Pistons,1,0,1,2.2,3.0,1.0,2.0,50.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
Milwaukee Bucks,2,0,2,2.9,3.5,1.0,4.5,22.2,0.0,1.0,0.0,1.5,2.5,60.0,0.5,0.5,1.0,0.5,0.5,0.0,0.5,2.5,-3.5
Minnesota Timberwolves,3,0,3,1.4,2.0,0.7,2.0,33.3,0.0,0.7,0.0,0.7,1.0,66.7,0.3,0.7,1.0,0.0,0.0,0.0,0.0,2.0,-3.3
San Antonio Spurs,2,0,2,2.8,6.0,2.0,3.5,57.1,0.5,0.5,100,1.5,2.0,75.0,0.5,2.0,2.5,1.5,1.0,0.0,0.5,1.0,-1.0
Seattle SuperSonics,1,0,1,1.3,2.0,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0
Toronto Raptors,3,0,3,3.1,6.3,1.3,4.3,30.8,0.7,2.3,28.6,3.0,3.7,81.8,0.7,1.0,1.7,1.3,0.3,0.3,0.7,2.7,-3.3
