Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
Houston Rockets,3,3,0,1.9,3.7,0.7,3.3,20.0,0.7,1.7,40.0,1.7,2.3,71.4,0.3,2.0,2.3,0.7,1.0,0.3,0.0,0.3,2.7
New Orleans Pelicans,3,3,0,1.0,4.0,1.0,2.0,50.0,1.0,1.7,60.0,1.0,1.0,100,0.7,1.0,1.7,0.7,0.3,0.3,0.3,0.0,4.0
Washington Wizards,1,1,0,1.5,3.0,1.0,2.0,50.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Boston Celtics,7,5,2,1.5,5.4,1.6,2.7,57.9,0.3,0.9,33.3,2.0,2.4,82.4,0.3,0.6,0.9,0.9,0.0,0.4,0.0,0.4,0.9
Cleveland Cavaliers,9,6,3,1.5,2.8,0.9,2.2,40.0,0.2,1.0,22.2,0.8,1.1,70.0,0.3,1.2,1.6,0.2,0.4,0.0,0.1,0.8,-0.8
Utah Jazz,3,2,1,0.9,3.0,0.7,0.7,100,0.0,0.0,0.0,1.7,1.7,100,0.0,0.7,0.7,0.3,0.0,0.0,0.0,0.3,1.7
Golden State Warriors,5,3,2,1.9,4.4,1.6,3.6,44.4,0.4,1.0,40.0,0.8,1.0,80.0,0.4,1.4,1.8,0.8,0.4,0.2,0.4,1.0,1.0
Milwaukee Bucks,3,1,2,1.3,6.3,2.3,3.0,77.8,1.0,1.0,100,0.7,1.0,66.7,0.3,0.3,0.7,1.3,0.3,0.0,0.3,1.7,0.3
Oklahoma City Thunder,3,1,2,0.9,1.3,0.3,2.7,12.5,0.3,1.7,20.0,0.3,0.3,100,1.3,0.0,1.3,0.0,0.0,0.0,0.0,1.0,-1.7
Indiana Pacers,4,1,3,1.0,2.0,0.8,1.8,42.9,0.3,0.5,50.0,0.3,0.5,50.0,0.0,0.8,0.8,0.5,0.0,0.0,0.0,0.5,0.0
Philadelphia 76ers,4,1,3,2.0,4.5,1.8,3.3,53.8,0.0,0.3,0.0,1.0,1.0,100,0.8,1.3,2.0,1.0,1.3,0.0,0.0,1.3,-1.8
Miami Heat,1,0,1,1.5,5.0,2.0,2.0,100,0.0,0.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0
Minnesota Timberwolves,1,0,1,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,-1.0
Portland Trail Blazers,3,0,3,1.0,0.0,0.0,1.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.3,0.0,1.0,-4.0
San Antonio Spurs,1,0,1,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
Toronto Raptors,3,0,3,2.2,3.0,0.7,4.3,15.4,0.3,2.0,16.7,1.3,1.7,80.0,1.7,1.7,3.3,0.7,0.3,0.0,0.0,1.0,-1.3
