Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
Chicago Bulls,2,2,0,0.9,2.0,0.0,1.5,0.0,0.0,0.0,0.0,2.0,2.0,100,1.0,0.5,1.5,0.0,0.5,0.0,0.0,0.5,1.0
Los Angeles Lakers,1,1,0,2.2,4.0,2.0,4.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Utah Jazz,5,4,1,2.3,6.0,1.8,4.2,42.9,0.2,1.6,12.5,2.2,2.4,91.7,1.2,1.8,3.0,0.6,1.0,0.2,0.2,1.8,1.6
San Antonio Spurs,9,7,2,1.5,5.2,1.2,2.1,57.9,0.3,0.3,100,2.4,3.2,75.9,0.3,1.1,1.4,0.7,0.4,0.3,0.3,0.8,2.3
Cleveland Cavaliers,12,8,4,1.4,3.3,1.2,2.8,41.2,0.1,0.6,14.3,0.9,1.3,68.8,0.5,0.6,1.1,0.5,0.1,0.5,0.3,1.0,0.3
Detroit Pistons,7,4,3,1.8,4.3,1.3,1.9,69.2,0.3,0.6,50.0,1.4,1.9,76.9,0.0,1.1,1.1,0.7,0.9,0.3,0.3,1.0,1.3
Dallas Mavericks,2,1,1,2.0,3.5,0.5,1.5,33.3,0.0,1.0,0.0,2.5,3.5,71.4,0.5,2.0,2.5,0.0,1.5,0.0,0.0,2.5,-2.0
Houston Rockets,2,1,1,2.3,4.0,1.0,1.5,66.7,0.0,0.5,0.0,2.0,2.5,80.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,-2.5
Toronto Raptors,4,2,2,1.8,4.8,1.0,1.8,57.1,0.3,0.3,100,2.5,3.5,71.4,0.0,1.5,1.5,0.5,0.5,0.3,0.0,0.8,0.8
New Jersey Nets,6,2,4,1.6,3.3,0.8,2.5,33.3,0.3,1.2,28.6,1.3,1.5,88.9,0.3,1.2,1.5,0.5,0.7,0.2,0.0,1.5,-1.0
Denver Nuggets,4,1,3,0.7,1.5,0.5,1.5,33.3,0.0,0.3,0.0,0.5,0.5,100,0.3,0.0,0.3,0.5,0.0,0.3,0.0,0.5,-1.3
Phoenix Suns,4,1,3,2.6,5.0,1.5,5.0,30.0,0.5,1.8,28.6,1.5,2.0,75.0,1.3,2.0,3.3,1.3,1.0,0.0,0.3,3.0,-1.8
Golden State Warriors,5,1,4,2.1,5.0,1.2,3.8,31.6,0.4,1.6,25.0,2.2,3.8,57.9,0.8,1.2,2.0,0.6,0.2,1.2,0.2,2.0,0.2
Miami Heat,2,0,2,0.9,1.0,0.5,1.5,33.3,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,1.5,-1.0
Orlando Magic,2,0,2,1.5,1.5,0.5,1.0,50.0,0.0,0.0,0.0,0.5,1.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,-6.5
Washington Wizards,3,0,3,0.9,2.0,0.7,1.3,50.0,0.0,0.0,0.0,0.7,0.7,100,0.3,0.3,0.7,0.0,0.3,0.0,0.0,0.7,-2.0
