Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
New Orleans Hornets,1,1,0,2.1,6.0,1.0,3.0,33.3,0.0,1.0,0.0,4.0,5.0,80.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0
Atlanta Hawks,4,3,1,1.6,4.3,0.8,3.3,23.1,0.3,0.8,33.3,2.5,2.8,90.9,1.5,0.8,2.3,0.3,0.5,0.0,0.3,0.3,0.8
Dallas Mavericks,11,8,3,2.0,5.1,1.5,3.0,48.5,0.4,1.0,36.4,1.8,2.0,90.9,0.5,1.5,1.9,0.7,0.2,0.6,0.3,0.5,2.9
Miami Heat,12,8,4,2.3,4.4,1.3,3.7,34.1,0.4,1.3,31.3,1.5,1.7,90.0,0.4,1.6,2.0,0.3,0.5,0.3,0.4,0.8,0.6
Portland Trail Blazers,3,2,1,0.8,2.0,0.7,1.0,66.7,0.0,0.3,0.0,0.7,0.7,100,0.0,0.3,0.3,0.0,0.0,0.0,0.0,1.0,-0.3
Boston Celtics,4,2,2,2.8,5.8,2.0,3.5,57.1,0.8,0.8,100,1.0,1.0,100,0.3,1.5,1.8,1.3,0.8,1.0,0.3,0.0,0.0
Memphis Grizzlies,6,3,3,1.7,3.8,1.0,2.7,37.5,0.5,0.8,60.0,1.3,2.0,66.7,0.3,1.2,1.5,0.5,0.3,0.3,0.2,0.7,0.3
Oklahoma City Thunder,8,4,4,1.8,3.1,1.0,3.3,30.8,0.1,1.1,11.1,1.0,1.4,72.7,0.5,1.9,2.4,0.5,0.8,0.0,0.4,1.6,-0.3
San Antonio Spurs,4,2,2,1.5,4.3,1.3,2.5,50.0,0.5,1.0,50.0,1.3,1.3,100,0.5,1.0,1.5,1.0,0.3,0.5,0.3,1.0,-0.3
Chicago Bulls,7,3,4,1.6,3.9,0.9,2.3,37.5,0.3,0.9,33.3,1.9,2.3,81.3,0.3,1.4,1.7,0.4,0.4,0.0,0.3,1.1,0.6
Philadelphia 76ers,3,1,2,2.1,3.3,1.0,3.7,27.3,0.3,0.3,100,1.0,1.0,100,0.7,1.7,2.3,0.3,0.0,0.0,0.3,2.3,-2.0
Denver Nuggets,4,1,3,1.7,2.8,0.3,2.8,9.1,0.0,1.0,0.0,2.3,3.3,69.2,0.3,0.8,1.0,0.0,0.3,0.3,0.0,1.5,-2.3
Indiana Pacers,4,1,3,1.6,2.5,0.3,2.0,12.5,0.0,0.3,0.0,2.0,2.8,72.7,0.3,1.0,1.3,0.0,0.0,0.0,0.0,1.8,-2.8
Orlando Magic,4,1,3,1.6,3.5,1.5,3.0,50.0,0.0,1.3,0.0,0.5,1.0,50.0,0.3,0.8,1.0,0.3,0.0,0.3,0.3,2.0,-0.8
Los Angeles Lakers,3,0,3,2.8,2.3,1.0,4.0,25.0,0.0,1.3,0.0,0.3,0.3,100,1.0,0.7,1.7,0.3,1.0,0.0,0.3,2.7,-5.0
New York Knicks,2,0,2,2.7,5.0,2.0,6.0,33.3,1.0,3.5,28.6,0.0,0.0,0.0,2.0,0.5,2.5,0.0,2.0,0.0,0.0,2.0,-2.5
