Player,Team,Age,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
Shane Larkin,BKN,23,14,8,6,1.5,0.3,0.1,0.4,33.3,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.2,0.2,0.1,0.0,0.3,-0.1
T.J. McConnell,PHI,24,14,1,13,1.1,0.2,0.1,0.3,25.0,0.0,0.0,0.0,0.1,0.1,50.0,0.0,0.0,0.0,0.2,0.1,0.1,0.0,0.2,-3.1
Terrence Ross,TOR,25,14,10,4,1.0,0.7,0.2,0.4,60.0,0.1,0.1,50.0,0.2,0.3,75.0,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.1,2.7
Trey Burke,UTA,23,14,6,8,1.5,0.4,0.1,0.6,22.2,0.1,0.3,50.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.1,0.1,0.0,0.1,-1.1
Anthony Tolliver,DET,31,13,10,3,1.5,0.2,0.1,0.1,100.0,0.1,0.1,100.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.2,0.8
Chris Johnson,UTA,26,13,4,9,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.3,-2.5
DeMarre Carroll,TOR,29,13,5,8,1.6,0.4,0.1,0.3,25.0,0.1,0.3,25.0,0.2,0.2,100.0,0.1,0.3,0.4,0.0,0.0,0.0,0.1,0.5,-0.9
Gerald Green,MIA,30,13,10,3,1.4,0.4,0.1,0.2,33.3,0.0,0.1,0.0,0.2,0.3,75.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.1,1.8
Kosta Koufos,SAC,27,13,4,9,0.6,0.2,0.1,0.2,50.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,-0.7
Kyrie Irving,CLE,24,13,8,5,2.1,1.9,0.5,1.0,46.2,0.1,0.4,20.0,0.9,1.0,92.3,0.0,0.2,0.2,0.1,0.2,0.2,0.0,0.2,1.5
