Player,Team,Age,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
Russell Westbrook,OKC,22,41,28,13,1.6,1.4,0.4,1.0,42.5,0.0,0.1,33.3,0.6,0.6,88.5,0.1,0.2,0.3,0.2,0.2,0.1,0.0,0.3,0.7
Kevin Durant,OKC,22,39,26,13,1.5,1.7,0.4,1.2,36.2,0.1,0.3,25.0,0.7,0.9,77.8,0.0,0.4,0.4,0.1,0.1,0.0,0.1,0.1,0.8
Jason Terry,DAL,33,38,26,12,1.7,1.8,0.6,1.1,52.4,0.2,0.4,64.3,0.4,0.4,93.8,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,1.9
Shane Battier,MEM,32,38,16,22,1.5,0.5,0.2,0.3,60.0,0.1,0.2,66.7,0.1,0.1,66.7,0.1,0.2,0.2,0.0,0.1,0.0,0.0,0.2,-0.1
Chris Paul,NOH,26,37,22,15,1.9,0.8,0.3,0.9,30.3,0.0,0.1,0.0,0.2,0.3,90.0,0.0,0.2,0.2,0.5,0.1,0.1,0.0,0.2,0.8
Dirk Nowitzki,DAL,33,37,25,12,1.7,1.4,0.4,1.0,41.7,0.0,0.2,0.0,0.6,0.8,82.1,0.1,0.3,0.4,0.3,0.1,0.0,0.0,0.2,1.8
Jason Kidd,DAL,38,37,26,11,1.8,0.5,0.1,0.1,100.0,0.1,0.1,100.0,0.1,0.1,100.0,0.0,0.2,0.3,0.2,0.2,0.1,0.0,0.2,2.1
Kevin Martin,HOU,28,37,16,21,1.6,0.9,0.2,0.6,25.0,0.0,0.2,0.0,0.6,0.7,92.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,-1.0
Kyle Lowry,HOU,25,37,16,21,1.6,0.7,0.2,0.7,34.6,0.0,0.2,0.0,0.2,0.3,80.0,0.1,0.2,0.3,0.1,0.0,0.0,0.1,0.2,-0.9
Mike Conley,MEM,23,37,18,19,2.1,0.8,0.2,0.6,39.1,0.0,0.2,12.5,0.2,0.4,64.3,0.0,0.2,0.2,0.4,0.2,0.1,0.0,0.1,0.8
Beno Udrih,SAC,28,36,14,22,1.4,0.7,0.1,0.3,40.0,0.0,0.1,50.0,0.4,0.4,100.0,0.0,0.1,0.1,0.2,0.1,0.0,0.0,0.2,0.1
Brook Lopez,NJN,23,36,17,19,1.8,1.3,0.4,0.8,46.7,0.0,0.0,0.0,0.5,0.6,82.6,0.2,0.2,0.4,0.1,0.1,0.0,0.1,0.2,-0.5
LaMarcus Aldridge,POR,25,36,20,16,1.6,0.8,0.2,0.7,30.8,0.0,0.0,0.0,0.3,0.6,55.0,0.2,0.2,0.4,0.1,0.1,0.1,0.0,0.2,-0.5
Paul Pierce,BOS,33,36,21,15,2.0,1.1,0.3,0.8,41.4,0.0,0.2,16.7,0.4,0.4,87.5,0.0,0.2,0.2,0.3,0.1,0.0,0.1,0.3,0.7
Ray Allen,BOS,35,36,21,15,2.0,1.1,0.3,0.8,37.0,0.2,0.4,40.0,0.4,0.5,82.4,0.1,0.2,0.3,0.0,0.1,0.1,0.0,0.1,0.7
