Player,Team,Age,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
Joe Johnson,ATL,25,42,15,27,2.1,1.3,0.5,1.3,40.0,0.1,0.3,38.5,0.1,0.2,62.5,0.1,0.2,0.3,0.3,0.2,0.1,0.0,0.2,-1.0
Mike James,TOR,31,41,15,26,2.0,1.7,0.5,1.2,38.8,0.2,0.5,40.0,0.6,0.7,88.9,0.0,0.2,0.2,0.2,0.1,0.0,0.0,0.2,0.2
Paul Pierce,BOS,28,41,18,23,2.0,1.6,0.5,1.2,37.3,0.1,0.3,27.3,0.6,1.1,57.8,0.1,0.4,0.5,0.1,0.2,0.0,0.0,0.2,-0.6
Kirk Hinrich,CHI,25,40,20,20,1.8,0.9,0.2,0.8,29.0,0.1,0.2,33.3,0.4,0.5,81.0,0.0,0.1,0.1,0.3,0.1,0.0,0.0,0.2,0.4
Ricky Davis,MIN,26,40,15,25,2.0,0.8,0.2,0.6,30.4,0.0,0.1,25.0,0.4,0.5,89.5,0.1,0.3,0.4,0.2,0.1,0.0,0.0,0.3,-1.2
Al Harrington,ATL,26,39,14,25,2.0,0.8,0.2,0.7,29.6,0.0,0.1,0.0,0.4,0.6,63.6,0.1,0.3,0.4,0.1,0.1,0.1,0.0,0.4,-1.2
Ben Gordon,CHI,23,37,18,19,1.6,1.4,0.5,1.2,40.0,0.2,0.3,58.3,0.3,0.4,71.4,0.0,0.2,0.2,0.1,0.1,0.0,0.0,0.1,0.6
Kevin Garnett,MIN,30,37,13,24,1.5,1.1,0.3,0.7,38.5,0.0,0.0,0.0,0.5,0.7,74.1,0.2,0.2,0.4,0.1,0.1,0.1,0.1,0.4,-1.2
Morris Peterson,TOR,28,37,14,23,2.2,1.0,0.3,0.7,46.2,0.2,0.4,53.8,0.2,0.2,100.0,0.1,0.2,0.4,0.1,0.1,0.1,0.1,0.2,0.0
Andre Iguodala,PHI,22,36,19,17,1.7,0.9,0.2,0.4,50.0,0.0,0.1,25.0,0.4,0.5,82.4,0.2,0.2,0.4,0.1,0.1,0.1,0.0,0.1,-0.4
Josh Smith,ATL,20,36,15,21,1.8,0.7,0.2,0.5,42.1,0.0,0.1,25.0,0.3,0.3,81.8,0.2,0.3,0.5,0.1,0.1,0.0,0.1,0.4,-0.6
Michael Redd,MIL,26,36,24,12,1.7,1.4,0.4,1.0,36.1,0.0,0.2,12.5,0.6,0.6,100.0,0.0,0.3,0.3,0.0,0.1,0.1,0.0,0.3,0.9
Gilbert Arenas,WAS,24,35,15,20,1.9,1.4,0.4,1.1,33.3,0.1,0.2,25.0,0.6,0.7,76.9,0.0,0.2,0.2,0.3,0.2,0.1,0.0,0.2,-0.5
Luol Deng,CHI,21,35,16,19,1.9,1.0,0.3,0.5,47.4,0.0,0.1,25.0,0.4,0.5,88.2,0.2,0.4,0.6,0.1,0.1,0.0,0.0,0.1,-0.1
Antawn Jamison,WAS,30,34,14,20,1.8,1.3,0.5,1.0,48.5,0.1,0.2,37.5,0.2,0.4,66.7,0.1,0.2,0.4,0.0,0.1,0.1,0.0,0.1,-0.4
Bobby Simmons,MIL,26,34,22,12,1.6,0.7,0.2,0.4,66.7,0.1,0.1,66.7,0.2,0.3,63.6,0.0,0.3,0.3,0.1,0.0,0.0,0.0,0.1,0.7
Chris Bosh,TOR,22,34,14,20,2.0,1.0,0.2,0.6,38.1,0.0,0.0,0.0,0.5,0.6,77.3,0.3,0.2,0.5,0.1,0.1,0.0,0.1,0.1,0.6
Derek Fisher,GSW,31,34,12,22,1.8,1.3,0.4,0.8,50.0,0.1,0.4,25.0,0.4,0.4,100.0,0.1,0.2,0.3,0.2,0.1,0.0,0.0,0.4,-0.7
Kyle Korver,PHI,25,34,17,17,1.5,0.2,0.0,0.3,0.0,0.0,0.2,0.0,0.2,0.2,75.0,0.0,0.2,0.2,0.1,0.1,0.0,0.1,0.1,-0.2
Tyson Chandler,CHI,23,34,19,15,1.5,0.1,0.1,0.1,66.7,0.0,0.0,0.0,0.0,0.0,100.0,0.1,0.3,0.4,0.0,0.1,0.0,0.2,0.3,0.7
Wally Szczerbiak,BOS,29,34,15,19,1.6,0.4,0.1,0.4,25.0,0.0,0.2,16.7,0.2,0.2,100.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,-0.2
Andres Nocioni,CHI,26,33,16,17,1.5,0.7,0.2,0.5,38.9,0.0,0.2,16.7,0.2,0.2,100.0,0.1,0.4,0.5,0.1,0.1,0.1,0.0,0.2,0.4
