Player,Team,Age,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
Dan Majerle,MIA,32.0,22,16,6,1.6,0.6,0.2,0.5,36.4,0.2,0.4,50.0,0.0,0.1,50.0,0.1,0.2,0.3,0.1,0.0,0.0,0.0,0.1,1.8
Dana Barros,BOS,31.0,22,9,13,1.0,0.5,0.1,0.2,50.0,0.0,0.0,0.0,0.3,0.4,87.5,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.1,-1.0
Marcus Camby,TOR,24.0,22,12,10,2.0,0.9,0.3,0.5,60.0,0.0,0.0,0.0,0.3,0.4,77.8,0.2,0.3,0.5,0.2,0.1,0.1,0.2,0.2,0.0
Nick Van Exel,LAL,26.0,22,14,8,1.8,1.0,0.4,0.9,40.0,0.1,0.3,28.6,0.2,0.4,62.5,0.0,0.4,0.4,0.3,0.1,0.1,0.0,0.3,1.5
Walter McCarty,BOS,24.0,22,13,9,0.9,0.5,0.1,0.3,50.0,0.0,0.1,33.3,0.1,0.1,100.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.3
A.C. Green,DAL,34.0,21,7,14,1.8,0.3,0.0,0.2,25.0,0.0,0.0,0.0,0.2,0.3,71.4,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,-0.6
Alonzo Mourning,MIA,28.0,21,14,7,2.1,0.7,0.2,0.8,31.3,0.0,0.0,0.0,0.2,0.4,55.6,0.3,0.5,0.9,0.1,0.1,0.0,0.2,0.1,1.6
Brian Shaw,PHI,32.0,21,10,11,1.1,0.0,0.0,0.3,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.3,-0.3
Charles Barkley,HOU,35.0,21,9,12,1.8,0.8,0.2,0.7,35.7,0.0,0.0,0.0,0.3,0.4,77.8,0.2,0.2,0.4,0.1,0.1,0.0,0.0,0.3,-0.6
Darrick Martin,LAC,27.0,21,7,14,1.5,0.5,0.1,0.5,20.0,0.0,0.2,20.0,0.3,0.3,85.7,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.3,0.0
Dee Brown,TOR,29.0,21,8,13,1.4,0.3,0.0,0.3,0.0,0.0,0.1,0.0,0.3,0.5,70.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,-1.4
Dennis Rodman,CHI,37.0,21,12,9,1.9,0.7,0.2,0.3,66.7,0.0,0.0,0.0,0.3,0.5,63.6,0.2,0.3,0.5,0.0,0.0,0.0,0.0,0.3,-0.2
John Stockton,UTA,36.0,21,15,6,1.8,1.8,0.6,0.9,63.2,0.0,0.1,0.0,0.6,0.8,76.5,0.1,0.0,0.1,0.5,0.1,0.0,0.0,0.1,0.8
Lamond Murray,LAC,25.0,21,9,12,1.4,0.6,0.1,0.3,42.9,0.0,0.1,0.0,0.3,0.3,100.0,0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Rick Fox,LAL,28.0,21,14,7,1.3,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.2,25.0,0.0,0.1,0.1,0.1,0.0,0.2,0.0,0.2,0.7
Toni Kukoc,CHI,29.0,21,11,10,1.4,0.8,0.1,0.5,27.3,0.0,0.3,16.7,0.4,0.5,90.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.2,-0.4
Alan Henderson,ATL,25.0,20,11,9,1.7,0.8,0.3,0.6,54.5,0.0,0.0,0.0,0.2,0.3,66.7,0.3,0.4,0.7,0.0,0.1,0.0,0.0,0.2,0.4
Billy Owens,SAC,29.0,20,7,13,2.0,0.5,0.1,0.4,28.6,0.0,0.1,0.0,0.3,0.3,83.3,0.2,0.4,0.6,0.1,0.1,0.1,0.0,0.3,0.1
Chris Childs,NYK,30.0,20,6,14,1.7,0.5,0.1,0.4,14.3,0.1,0.2,25.0,0.4,0.4,87.5,0.0,0.2,0.2,0.2,0.2,0.2,0.1,0.3,-1.1
Chris Mills,NYK,28.0,20,3,17,1.0,0.0,0.0,0.3,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.0,0.0,0.0,0.0,0.2,-0.6
Chris Mullin,IND,34.0,20,12,8,1.5,0.3,0.1,0.4,25.0,0.0,0.1,0.0,0.1,0.1,100.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.2,0.8
Chuck Person,SAS,34.0,20,14,6,1.6,0.7,0.2,0.8,26.7,0.1,0.6,16.7,0.2,0.3,66.7,0.1,0.2,0.3,0.1,0.1,0.0,0.0,0.2,1.4
Clyde Drexler,HOU,36.0,20,9,11,1.8,0.8,0.3,0.9,27.8,0.1,0.2,25.0,0.3,0.4,62.5,0.1,0.1,0.2,0.3,0.2,0.0,0.1,0.3,-0.9
Dean Garrett,DEN,31.0,20,3,17,1.9,0.5,0.1,0.3,16.7,0.0,0.0,0.0,0.4,0.5,70.0,0.3,0.6,0.8,0.1,0.2,0.1,0.2,0.2,-1.8
Eric Snow,PHI,25.0,20,10,10,0.8,0.2,0.1,0.1,50.0,0.0,0.1,0.0,0.1,0.1,100.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.1,-0.5
Joe Smith,PHI,22.0,20,9,11,1.3,0.6,0.2,0.5,40.0,0.0,0.0,0.0,0.2,0.3,80.0,0.2,0.1,0.2,0.1,0.2,0.0,0.0,0.1,-0.5
Kenny Anderson,BOS,27.0,20,11,9,1.6,1.4,0.5,1.0,52.6,0.1,0.2,66.7,0.3,0.5,66.7,0.0,0.1,0.1,0.4,0.2,0.0,0.1,0.3,1.0
Lee Mayberry,VAN,28.0,20,9,11,1.9,0.3,0.1,0.3,16.7,0.0,0.2,0.0,0.2,0.2,100.0,0.0,0.1,0.1,0.4,0.1,0.0,0.1,0.3,-0.7
Oliver Miller,TOR,28.0,20,8,12,1.5,0.4,0.2,0.5,40.0,0.0,0.1,0.0,0.0,0.2,0.0,0.3,0.1,0.3,0.1,0.1,0.0,0.1,0.2,-0.6
Bruce Bowen,BOS,27.0,19,11,8,1.2,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.2,-0.7
Donyell Marshall,GSW,25.0,19,7,12,1.6,0.2,0.1,0.3,16.7,0.0,0.1,0.0,0.1,0.2,66.7,0.2,0.4,0.5,0.0,0.1,0.0,0.1,0.2,0.2
Hot Rod Williams,PHX,35.0,19,12,7,1.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.5,0.0,0.0,0.0,0.1,0.1,-0.8
Kobe Bryant,LAL,19.0,19,9,10,1.5,1.2,0.3,0.6,45.5,0.1,0.2,25.0,0.6,0.9,70.6,0.2,0.2,0.4,0.0,0.2,0.1,0.1,0.0,0.4
LaPhonso Ellis,DEN,28.0,19,3,16,1.9,0.5,0.2,0.5,40.0,0.0,0.1,0.0,0.1,0.2,25.0,0.0,0.3,0.3,0.0,0.2,0.0,0.1,0.4,-2.2
Robert Horry,LAL,27.0,19,12,7,1.5,0.5,0.1,0.3,33.3,0.1,0.1,100.0,0.2,0.4,57.1,0.2,0.3,0.5,0.1,0.1,0.2,0.0,0.4,0.9
Sherman Douglas,NJN,31.0,19,10,9,0.9,0.2,0.1,0.2,33.3,0.0,0.0,0.0,0.1,0.1,50.0,0.0,0.2,0.2,0.0,0.1,0.0,0.0,0.3,0.7
Stacey Augmon,POR,29.0,19,14,5,0.8,0.4,0.1,0.2,33.3,0.0,0.0,0.0,0.3,0.3,83.3,0.1,0.2,0.3,0.1,0.1,0.1,0.0,0.1,0.7
Tim Thomas,PHI,21.0,19,4,15,1.0,0.1,0.1,0.5,11.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.2,0.0,0.0,0.1,-0.9
Travis Knight,BOS,23.0,19,9,10,1.0,0.4,0.1,0.3,40.0,0.0,0.1,0.0,0.2,0.2,100.0,0.2,0.2,0.4,0.0,0.1,0.1,0.1,0.1,-0.4
Antonio McDyess,PHX,23.0,18,11,7,1.1,0.4,0.2,0.4,37.5,0.0,0.0,0.0,0.1,0.1,100.0,0.2,0.3,0.4,0.0,0.1,0.1,0.0,0.3,-0.6
Clifford Robinson,PHX,31.0,18,12,6,1.6,0.5,0.2,0.6,40.0,0.0,0.0,0.0,0.1,0.3,20.0,0.1,0.3,0.3,0.1,0.1,0.0,0.1,0.3,-0.1
Darrell Armstrong,ORL,30.0,18,9,9,1.1,0.7,0.1,0.2,33.3,0.0,0.0,0.0,0.6,0.6,90.9,0.1,0.0,0.1,0.1,0.0,0.2,0.0,0.2,-1.1
Derrick McKey,IND,31.0,18,14,4,1.5,0.4,0.1,0.1,100.0,0.1,0.1,100.0,0.2,0.2,75.0,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.2,1.6
Jalen Rose,IND,25.0,18,12,6,1.5,0.9,0.2,0.3,80.0,0.1,0.1,100.0,0.4,0.6,70.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.1,-0.2
Luc Longley,CHI,29.0,18,10,8,1.8,0.5,0.2,0.4,57.1,0.0,0.0,0.0,0.1,0.1,50.0,0.1,0.3,0.3,0.1,0.1,0.1,0.1,0.4,0.1
Maurice Taylor,LAC,21.0,18,6,12,1.5,0.7,0.2,0.4,50.0,0.0,0.0,0.0,0.2,0.3,66.7,0.1,0.3,0.4,0.1,0.0,0.1,0.0,0.3,0.0
Otis Thorpe,SAC,35.0,18,9,9,1.9,0.4,0.1,0.3,20.0,0.0,0.0,0.0,0.3,0.5,66.7,0.3,0.2,0.5,0.0,0.2,0.0,0.0,0.3,-0.7
Pete Chilcutt,VAN,29.0,18,8,10,1.1,0.4,0.2,0.4,42.9,0.1,0.3,33.3,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.0,0.0,0.0,0.2,0.1
Ron Harper,CHI,34.0,18,12,6,1.5,0.2,0.1,0.2,25.0,0.0,0.0,0.0,0.1,0.1,50.0,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.1,-0.2
Shaquille O'Neal,LAL,26.0,18,10,8,1.7,1.2,0.5,0.6,90.0,0.0,0.0,0.0,0.2,0.8,26.7,0.2,0.2,0.4,0.0,0.0,0.1,0.1,0.3,0.4
Shawn Bradley,DAL,26.0,18,4,14,1.4,0.2,0.1,0.3,33.3,0.0,0.0,0.0,0.0,0.1,0.0,0.3,0.2,0.5,0.1,0.1,0.0,0.3,0.1,-1.7
Bobby Phills,CHH,28.0,17,14,3,1.8,0.2,0.1,0.2,25.0,0.0,0.0,0.0,0.1,0.1,50.0,0.0,0.2,0.2,0.2,0.2,0.1,0.0,0.2,1.0
Eric Piatkowski,LAC,27.0,17,7,10,1.4,0.3,0.1,0.3,20.0,0.1,0.1,100.0,0.1,0.2,66.7,0.1,0.1,0.2,0.1,0.1,0.0,0.1,0.2,0.2
Erick Strickland,DAL,24.0,17,7,10,1.2,0.1,0.0,0.3,0.0,0.0,0.2,0.0,0.1,0.2,50.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.1,-1.0
Johnny Newman,DEN,34.0,17,3,14,1.8,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.1,0.3,0.0,0.1,0.4,-1.9
Lorenzen Wright,LAC,22.0,17,4,13,1.6,0.5,0.1,0.2,50.0,0.0,0.0,0.0,0.3,0.4,83.3,0.3,0.3,0.6,0.0,0.2,0.1,0.0,0.2,-0.7
Tom Gugliotta,MIN,28.0,17,10,7,2.4,1.6,0.6,1.4,43.5,0.0,0.0,0.0,0.5,0.6,80.0,0.1,0.3,0.4,0.1,0.1,0.0,0.0,0.2,1.4
Anthony Goldwire,DEN,26.0,16,3,13,1.8,0.9,0.3,0.9,28.6,0.3,0.6,44.4,0.2,0.3,75.0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.3,-2.6
Derek Harper,ORL,36.0,16,6,10,1.5,0.3,0.1,0.5,25.0,0.0,0.3,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.4,-0.7
Derek Strong,ORL,30.0,16,11,5,1.2,0.6,0.2,0.4,42.9,0.0,0.0,0.0,0.2,0.2,100.0,0.3,0.2,0.4,0.0,0.1,0.0,0.0,0.1,0.8
Ike Austin,LAC,28.0,16,7,9,1.6,0.7,0.1,0.5,12.5,0.0,0.0,0.0,0.6,0.6,90.0,0.1,0.6,0.6,0.0,0.2,0.0,0.0,0.2,-0.1
Mario Elie,HOU,34.0,16,8,8,1.7,0.8,0.3,0.4,57.1,0.1,0.1,100.0,0.1,0.2,66.7,0.0,0.2,0.2,0.1,0.1,0.1,0.0,0.1,-0.6
Rony Seikaly,NJN,33.0,16,9,7,1.2,0.5,0.1,0.4,33.3,0.0,0.0,0.0,0.3,0.3,100.0,0.2,0.1,0.3,0.0,0.0,0.1,0.0,0.3,0.5
Steve Kerr,CHI,32.0,16,10,6,1.4,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.1,100.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.3,0.1
Vlade Divac,CHH,30.0,16,12,4,2.0,1.3,0.4,0.7,54.5,0.0,0.1,0.0,0.5,0.6,80.0,0.2,0.3,0.5,0.1,0.0,0.1,0.1,0.3,1.4
Walt Williams,POR,28.0,16,10,6,1.4,0.6,0.1,0.4,33.3,0.1,0.2,33.3,0.3,0.4,83.3,0.1,0.3,0.3,0.1,0.0,0.0,0.1,0.1,1.3
Dale Ellis,SEA,37.0,15,13,2,1.6,0.7,0.3,1.1,25.0,0.2,0.8,25.0,0.0,0.0,0.0,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,2.1
Elden Campbell,LAL,29.0,15,10,5,1.5,0.9,0.2,0.3,60.0,0.0,0.0,0.0,0.5,0.8,58.3,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.3
George Lynch,VAN,27.0,15,10,5,1.0,0.2,0.1,0.3,20.0,0.0,0.0,0.0,0.1,0.1,100.0,0.0,0.3,0.3,0.1,0.0,0.1,0.2,0.1,-0.2
Jerome Williams,DET,25.0,15,6,9,1.4,0.4,0.1,0.1,50.0,0.0,0.0,0.0,0.3,0.3,100.0,0.0,0.2,0.2,0.1,0.1,0.0,0.1,0.3,-0.5
Khalid Reeves,DAL,25.0,15,5,10,1.5,0.5,0.1,0.3,25.0,0.0,0.0,0.0,0.3,0.4,83.3,0.1,0.0,0.1,0.1,0.2,0.1,0.0,0.4,-0.9
Mark Price,ORL,34.0,15,11,4,1.0,0.9,0.1,0.6,22.2,0.1,0.3,25.0,0.5,0.5,100.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2,1.7
Matt Maloney,HOU,26.0,15,6,9,1.8,0.1,0.0,0.3,0.0,0.0,0.1,0.0,0.1,0.1,100.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.2,-0.6
Muggsy Bogues,GSW,33.0,15,5,10,1.9,0.4,0.1,0.3,25.0,0.0,0.0,0.0,0.3,0.3,100.0,0.0,0.1,0.1,0.2,0.1,0.1,0.0,0.1,0.0
