Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
Charlotte Hornets,1,1,0,3.1,6.0,2.0,6.0,33.3,0.0,0.0,0.0,2.0,2.0,100,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,-1.0
Houston Rockets,1,1,0,3.0,7.0,1.0,4.0,25.0,0.0,0.0,0.0,5.0,6.0,83.3,0.0,4.0,4.0,1.0,0.0,0.0,0.0,2.0,2.0
Indiana Pacers,10,7,3,1.1,3.6,0.7,1.5,46.7,0.3,0.4,75.0,1.9,2.1,90.5,0.3,0.2,0.5,0.3,0.2,0.2,0.1,0.7,1.3
Utah Jazz,11,7,4,2.1,4.5,1.4,3.4,40.5,0.2,0.7,25.0,1.5,1.9,81.0,0.5,1.5,2.0,1.2,0.7,0.1,0.1,1.5,0.0
Chicago Bulls,13,7,6,1.8,4.8,1.2,2.8,44.4,0.2,1.1,21.4,2.2,2.6,82.4,0.5,1.0,1.5,0.8,0.3,0.4,0.2,1.4,0.3
Minnesota Timberwolves,2,1,1,1.0,3.5,0.5,1.5,33.3,0.0,0.0,0.0,2.5,2.5,100,0.5,0.5,1.0,0.0,0.5,1.0,0.0,0.5,3.0
Phoenix Suns,2,1,1,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,66.7,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0
Portland Trail Blazers,2,1,1,1.7,3.5,0.5,2.0,25.0,0.0,0.5,0.0,2.5,3.5,71.4,0.5,1.5,2.0,0.0,0.5,0.5,0.0,3.0,-1.0
Seattle SuperSonics,2,1,1,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1.0,50.0,0.0,0.5,0.5,0.0,1.0,0.5,0.0,2.0,-3.0
Cleveland Cavaliers,3,1,2,0.5,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.3,100,0.0,0.0,0.0,0.0,0.0,0.3,0.0,1.0,-1.0
New York Knicks,3,1,2,1.0,1.7,0.3,1.7,20.0,0.0,0.0,0.0,1.0,1.0,100,0.7,0.7,1.3,0.3,0.7,0.0,0.0,0.7,-0.7
Los Angeles Lakers,4,1,3,1.7,3.0,0.3,1.0,25.0,0.3,0.5,50.0,2.3,3.5,64.3,0.0,1.0,1.0,0.0,0.5,0.0,0.0,2.5,-2.3
San Antonio Spurs,5,1,4,1.4,2.2,0.6,1.8,33.3,0.0,0.8,0.0,1.0,1.4,71.4,0.0,1.4,1.4,0.4,0.4,0.2,0.0,1.4,0.0
Miami Heat,1,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-3.0
New Jersey Nets,2,0,2,1.6,3.5,0.5,1.0,50.0,0.0,0.0,0.0,2.5,3.0,83.3,0.0,1.5,1.5,0.0,0.0,0.0,0.0,1.5,0.5
