Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
Milwaukee Bucks,1,1,0,0.5,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,50.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
Minnesota Timberwolves,6,5,1,0.7,2.8,0.5,0.8,60.0,0.2,0.5,33.3,1.7,2.7,62.5,0.2,0.8,1.0,0.2,0.0,0.0,0.2,0.7,1.2
Los Angeles Lakers,5,4,1,1.9,2.8,1.2,3.4,35.3,0.2,1.0,20.0,0.2,1.0,20.0,0.6,1.2,1.8,0.6,0.2,0.2,0.0,0.6,-0.6
New Jersey Nets,4,3,1,2.1,5.3,1.0,2.5,40.0,0.0,0.0,0.0,3.3,5.5,59.1,0.8,2.8,3.5,0.3,0.8,0.3,0.5,1.5,2.0
Sacramento Kings,7,4,3,1.4,2.6,0.7,2.6,27.8,0.3,0.7,40.0,0.9,1.9,46.2,0.3,0.6,0.9,0.6,0.4,0.4,0.0,1.6,-0.6
Detroit Pistons,8,4,4,1.8,3.8,1.1,4.0,28.1,0.3,1.0,25.0,1.3,1.8,71.4,1.1,1.3,2.4,0.6,0.4,0.1,0.4,1.4,0.8
Miami Heat,4,2,2,1.9,3.5,0.8,2.0,37.5,0.3,1.0,25.0,1.8,3.3,53.8,0.3,1.3,1.5,0.3,0.8,0.0,0.8,1.3,-0.5
San Antonio Spurs,2,1,1,3.0,6.5,2.5,5.0,50.0,0.0,1.0,0.0,1.5,3.0,50.0,0.5,2.5,3.0,2.0,0.5,0.5,0.0,1.0,2.0
Indiana Pacers,5,2,3,1.6,3.0,1.0,2.4,41.7,0.2,0.2,100,0.8,1.8,44.4,0.6,1.2,1.8,0.4,0.2,0.4,0.4,0.8,0.2
New Orleans Hornets,3,1,2,2.0,3.3,1.3,4.0,33.3,0.0,1.0,0.0,0.7,0.7,100,1.0,0.7,1.7,1.3,0.3,0.3,0.0,1.7,-1.0
Dallas Mavericks,3,0,3,2.1,2.7,0.7,4.0,16.7,0.0,0.7,0.0,1.3,1.7,80.0,1.3,2.0,3.3,0.3,1.3,0.3,0.7,1.3,0.0
Denver Nuggets,1,0,1,0.6,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,-3.0
Houston Rockets,2,0,2,2.3,3.0,1.0,3.0,33.3,0.0,1.0,0.0,1.0,1.0,100,0.5,3.5,4.0,0.0,1.0,0.0,0.0,2.0,1.5
Memphis Grizzlies,1,0,1,3.0,3.0,1.0,6.0,16.7,0.0,1.0,0.0,1.0,2.0,50.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,-4.0
New York Knicks,2,0,2,1.5,0.5,0.0,1.5,0.0,0.0,1.0,0.0,0.5,2.0,25.0,0.5,1.0,1.5,0.0,0.5,0.0,1.0,3.0,-6.0
