Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
Chicago Bulls,1,1,0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Golden State Warriors,2,2,0,2.1,8.0,2.5,4.0,62.5,1.0,2.5,40.0,2.0,2.0,100,1.0,2.0,3.0,1.5,1.0,0.0,1.0,1.5,4.5
Toronto Raptors,2,2,0,2.7,9.0,3.5,4.0,87.5,0.5,0.5,100,1.5,3.0,50.0,0.0,2.5,2.5,1.5,0.0,0.5,0.0,0.0,4.5
Washington Wizards,4,3,1,1.9,4.8,1.8,4.0,43.8,0.5,1.0,50.0,0.8,1.0,75.0,0.5,1.0,1.5,0.5,0.0,0.3,0.5,0.8,0.8
Cleveland Cavaliers,5,3,2,2.1,4.2,1.2,3.4,35.3,0.6,2.2,27.3,1.2,1.6,75.0,0.8,1.4,2.2,0.6,0.8,0.6,0.2,0.8,0.4
Utah Jazz,5,3,2,1.2,4.0,1.2,2.0,60.0,0.4,0.8,50.0,1.2,1.6,75.0,0.2,1.0,1.2,0.8,0.6,0.0,0.0,1.4,1.2
Boston Celtics,4,2,2,2.1,6.3,2.3,4.3,52.9,0.8,1.8,42.9,1.0,1.3,80.0,0.3,1.3,1.5,1.5,0.0,0.3,0.0,0.8,1.3
Houston Rockets,4,2,2,2.0,6.8,1.8,3.0,58.3,1.0,2.3,44.4,2.3,2.5,90.0,0.3,1.0,1.3,0.8,0.8,0.5,0.0,1.5,3.3
Memphis Grizzlies,2,1,1,2.8,5.5,1.0,1.5,66.7,0.0,0.0,0.0,3.5,3.5,100,0.0,0.5,0.5,0.5,1.5,0.0,0.0,1.0,-3.0
San Antonio Spurs,4,2,2,2.9,7.3,2.5,5.5,45.5,0.5,1.5,33.3,1.8,2.3,77.8,1.3,0.5,1.8,1.0,0.0,1.0,0.0,1.3,0.8
LA Clippers,5,2,3,1.2,2.8,0.4,1.8,22.2,0.0,0.6,0.0,2.0,2.2,90.9,0.4,0.4,0.8,0.0,0.0,0.4,0.0,1.2,-1.2
Oklahoma City Thunder,3,1,2,1.6,3.0,1.0,1.7,60.0,0.0,0.3,0.0,1.0,2.0,50.0,0.3,0.7,1.0,0.0,0.7,0.0,0.0,1.3,-4.3
Atlanta Hawks,2,0,2,1.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.0,0.0,0.0,-4.0
Indiana Pacers,3,0,3,2.0,1.3,0.7,2.7,25.0,0.0,0.7,0.0,0.0,0.0,0.0,0.3,1.3,1.7,0.3,1.0,0.3,0.3,1.7,-3.3
Milwaukee Bucks,2,0,2,2.7,4.5,2.0,5.0,40.0,0.5,2.0,25.0,0.0,0.0,0.0,0.5,1.5,2.0,1.5,0.5,0.0,0.0,1.5,-4.5
