Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
Boston Celtics,1,1,0,3.1,9.0,4.0,6.0,66.7,1.0,2.0,50.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,0.0,0.0,1.0,1.0,3.0
LA Clippers,2,2,0,1.7,8.0,2.5,2.5,100,1.0,1.0,100,2.0,2.5,80.0,0.0,1.5,1.5,0.5,0.5,1.0,0.0,0.0,4.5
Golden State Warriors,12,7,5,1.7,4.4,1.5,3.2,47.4,0.8,1.5,50.0,0.7,0.7,100,0.6,1.3,1.9,1.1,0.9,0.2,0.3,1.2,1.2
Toronto Raptors,12,7,5,1.8,4.0,1.3,3.3,37.5,0.3,1.4,17.6,1.3,1.8,68.2,0.7,0.9,1.6,0.5,0.5,0.2,0.2,0.3,0.2
Houston Rockets,7,4,3,1.5,3.4,0.4,1.7,25.0,0.3,0.7,40.0,2.3,3.0,76.2,0.7,1.4,2.1,0.1,0.4,0.4,0.3,0.4,0.0
Portland Trail Blazers,7,4,3,2.1,4.6,1.6,3.9,40.7,0.6,1.9,30.8,0.9,1.1,75.0,0.3,1.3,1.6,0.6,0.1,0.4,0.4,1.0,-1.0
Denver Nuggets,6,3,3,1.8,5.3,1.8,3.0,61.1,0.5,1.0,50.0,1.2,1.3,87.5,0.2,1.3,1.5,1.2,0.7,0.2,0.2,0.8,2.7
Orlando Magic,2,1,1,1.8,5.0,2.0,3.5,57.1,1.0,1.5,66.7,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0
Philadelphia 76ers,4,2,2,2.2,5.0,1.5,3.0,50.0,0.5,0.8,66.7,1.5,1.8,85.7,0.8,0.8,1.5,1.3,1.3,0.5,0.0,0.8,-0.3
San Antonio Spurs,3,1,2,1.2,1.7,0.3,1.7,20.0,0.0,0.3,0.0,1.0,1.0,100,0.3,0.7,1.0,0.0,0.7,0.7,0.0,0.0,-0.7
Milwaukee Bucks,4,1,3,1.9,3.8,1.5,3.5,42.9,0.8,2.0,37.5,0.0,0.0,0.0,0.8,1.8,2.5,1.3,0.3,0.5,0.3,1.8,-0.3
Brooklyn Nets,1,0,1,3.1,7.0,3.0,4.0,75.0,1.0,1.0,100,0.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,2.0,0.0,1.0,-5.0
Indiana Pacers,1,0,1,3.1,6.0,2.0,5.0,40.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,-3.0
Oklahoma City Thunder,2,0,2,0.9,1.0,0.5,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,-5.5
Utah Jazz,2,0,2,2.1,1.5,0.5,3.5,14.3,0.0,2.0,0.0,0.5,0.5,100,0.5,2.5,3.0,0.0,0.5,0.0,0.0,3.5,-7.0
