Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
New York Knicks,1,1,0,2.9,11.0,3.0,4.0,75.0,2.0,2.0,100,3.0,7.0,42.9,2.0,3.0,5.0,1.0,1.0,0.0,0.0,1.0,5.0
Philadelphia 76ers,6,5,1,2.4,6.8,1.8,3.2,57.9,0.3,0.7,50.0,2.8,3.0,94.4,0.7,2.0,2.7,1.0,0.3,0.0,0.7,1.0,3.3
Indiana Pacers,3,2,1,2.4,1.3,0.3,5.0,6.7,0.0,2.0,0.0,0.7,2.7,25.0,2.0,2.3,4.3,0.3,1.0,0.0,0.3,1.7,-2.3
San Antonio Spurs,3,2,1,1.4,3.0,1.0,1.7,60.0,0.0,0.3,0.0,1.0,1.7,60.0,0.0,1.0,1.0,0.3,0.3,0.3,0.3,1.7,-0.7
Boston Celtics,10,6,4,2.3,5.0,1.6,3.4,47.1,0.6,0.7,85.7,1.2,1.3,92.3,0.2,0.9,1.1,1.3,0.4,0.2,0.2,1.6,-0.4
Los Angeles Clippers,5,3,2,2.0,3.8,1.0,2.2,45.5,0.0,0.2,0.0,1.8,2.4,75.0,0.0,1.6,1.6,0.4,0.6,0.4,0.0,1.0,0.6
Oklahoma City Thunder,11,6,5,1.8,4.4,1.5,3.1,47.1,0.2,0.6,28.6,1.3,1.5,82.4,0.4,1.2,1.5,0.4,0.4,0.6,0.2,1.2,1.1
Denver Nuggets,2,1,1,1.9,4.5,1.0,3.5,28.6,0.0,1.0,0.0,2.5,3.5,71.4,0.5,2.5,3.0,0.5,0.5,0.0,0.0,0.5,1.5
Miami Heat,8,4,4,2.4,5.5,1.6,4.0,40.6,0.6,1.6,38.5,1.6,2.4,68.4,0.6,1.5,2.1,0.9,0.3,0.3,0.0,1.1,0.6
Orlando Magic,2,1,1,2.1,4.5,1.0,3.0,33.3,1.0,2.0,50.0,1.5,2.5,60.0,0.5,3.0,3.5,0.5,0.5,0.0,0.5,1.5,4.5
Los Angeles Lakers,5,2,3,2.3,3.6,0.6,3.8,15.8,0.4,2.0,20.0,2.0,2.4,83.3,0.6,1.8,2.4,0.4,1.0,0.4,0.6,1.4,-2.2
Atlanta Hawks,4,1,3,1.9,2.5,1.0,3.0,33.3,0.3,0.5,50.0,0.3,0.5,50.0,0.0,0.8,0.8,0.5,0.3,0.0,0.0,1.3,-0.3
Memphis Grizzlies,4,1,3,1.7,2.0,0.8,2.8,27.3,0.0,0.3,0.0,0.5,0.5,100,0.3,0.8,1.0,0.3,0.5,0.0,0.3,1.3,-1.5
Chicago Bulls,3,0,3,2.5,1.3,0.3,3.3,10.0,0.0,1.3,0.0,0.7,2.0,33.3,0.7,1.0,1.7,0.3,0.0,0.0,0.3,2.3,-4.7
Dallas Mavericks,3,0,3,2.0,2.7,0.7,2.3,28.6,0.0,1.0,0.0,1.3,1.3,100,0.7,1.3,2.0,0.0,1.0,0.0,0.0,2.7,-4.0
