Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
Seattle SuperSonics,4,3,1,1.7,3.5,1.0,3.0,33.3,0.0,0.8,0.0,1.5,1.8,85.7,0.5,1.3,1.8,0.3,0.3,0.0,0.0,1.0,0.3
Miami Heat,6,4,2,2.0,2.8,0.7,3.3,20.0,0.3,1.0,33.3,1.2,1.5,77.8,0.5,2.7,3.2,0.3,0.5,0.2,0.3,0.8,-0.3
Detroit Pistons,8,5,3,2.0,4.6,1.5,3.8,40.0,0.3,1.0,25.0,1.4,1.6,84.6,0.6,1.3,1.9,0.8,0.3,0.3,0.6,1.6,1.0
Dallas Mavericks,5,3,2,2.0,7.4,2.2,3.8,57.9,0.4,0.6,66.7,2.6,3.2,81.3,0.6,1.4,2.0,1.0,0.4,0.4,0.0,0.8,3.0
Indiana Pacers,5,3,2,2.1,4.6,1.2,3.2,37.5,0.2,1.0,20.0,2.0,2.4,83.3,1.0,1.6,2.6,0.6,0.2,0.0,0.6,1.2,1.6
San Antonio Spurs,10,6,4,2.3,5.4,1.9,4.1,46.3,0.3,0.6,50.0,1.3,2.3,56.5,0.7,1.2,1.9,0.9,0.2,0.0,0.3,0.7,0.9
Phoenix Suns,6,3,3,1.7,5.0,1.5,3.0,50.0,0.5,1.2,42.9,1.5,1.8,81.8,0.5,1.2,1.7,0.5,0.2,0.2,0.3,1.3,0.7
Washington Wizards,5,2,3,1.4,2.4,0.8,2.4,33.3,0.2,0.6,33.3,0.6,1.6,37.5,0.0,1.4,1.4,0.4,0.0,0.6,0.6,0.4,-0.6
Boston Celtics,3,1,2,2.1,2.3,1.0,3.7,27.3,0.0,1.3,0.0,0.3,1.3,25.0,0.7,1.3,2.0,0.7,0.3,0.0,0.0,1.3,-3.0
Chicago Bulls,3,1,2,1.2,2.7,1.0,2.7,37.5,0.7,1.3,50.0,0.0,0.7,0.0,0.7,1.3,2.0,1.0,1.0,0.0,0.0,1.0,0.0
Denver Nuggets,3,1,2,2.2,4.3,1.7,3.0,55.6,0.0,0.0,0.0,1.0,1.3,75.0,0.0,0.7,0.7,1.3,0.0,0.3,1.0,1.0,-0.3
Houston Rockets,3,1,2,2.4,3.7,1.3,3.3,40.0,0.3,1.0,33.3,0.7,1.7,40.0,1.0,1.0,2.0,1.0,1.3,0.3,0.0,1.7,-5.0
Memphis Grizzlies,1,0,1,2.6,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,-8.0
New Jersey Nets,1,0,1,2.9,3.0,1.0,6.0,16.7,1.0,3.0,33.3,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
Philadelphia 76ers,1,0,1,1.5,3.0,1.0,3.0,33.3,0.0,1.0,0.0,1.0,2.0,50.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-2.0
Sacramento Kings,2,0,2,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,-2.5
