Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
Cleveland Cavaliers,8,6,2,1.8,4.0,1.0,3.0,33.3,0.5,1.1,44.4,1.5,1.6,92.3,0.6,1.4,2.0,0.6,0.6,0.0,0.5,0.9,1.4
Golden State Warriors,6,4,2,1.1,2.0,0.5,1.5,33.3,0.2,0.5,33.3,0.8,1.0,83.3,0.2,0.7,0.8,0.2,0.2,0.0,0.0,1.2,-0.3
Washington Wizards,7,4,3,1.6,3.9,1.4,3.0,47.6,0.4,1.1,37.5,0.6,0.7,80.0,0.1,0.7,0.9,1.0,0.6,0.1,0.3,0.6,0.3
Atlanta Hawks,9,5,4,2.0,4.6,1.8,3.7,48.5,0.1,0.9,12.5,0.9,1.2,72.7,0.7,1.7,2.3,1.0,0.6,0.2,0.1,0.6,1.6
Los Angeles Clippers,4,2,2,2.2,5.3,1.3,3.5,35.7,0.3,0.8,33.3,2.5,3.5,71.4,1.0,2.0,3.0,0.5,0.8,1.0,0.5,1.5,1.8
Memphis Grizzlies,2,1,1,1.5,3.0,1.0,2.5,40.0,0.0,0.0,0.0,1.0,1.0,100,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,-4.0
Milwaukee Bucks,2,1,1,1.5,4.0,1.5,5.0,30.0,0.5,1.5,33.3,0.5,1.0,50.0,1.5,0.0,1.5,1.5,0.0,0.5,0.0,1.0,2.0
Portland Trail Blazers,2,1,1,1.5,7.0,1.5,2.0,75.0,1.0,1.5,66.7,3.0,3.5,85.7,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.5,4.0
San Antonio Spurs,4,2,2,2.2,3.5,0.8,4.0,18.8,0.0,1.5,0.0,2.0,2.5,80.0,1.3,1.8,3.0,0.3,1.0,0.5,0.5,1.8,-1.8
Chicago Bulls,5,2,3,1.7,2.8,0.8,2.6,30.8,0.2,1.0,20.0,1.0,1.4,71.4,0.2,1.6,1.8,0.4,0.4,0.0,0.6,1.2,-2.0
Brooklyn Nets,3,1,2,2.0,2.3,1.0,3.3,30.0,0.3,0.3,100,0.0,0.0,0.0,0.0,1.0,1.0,0.7,0.0,0.7,0.0,1.3,-3.0
Houston Rockets,3,1,2,0.7,2.7,1.0,1.7,60.0,0.0,0.0,0.0,0.7,1.0,66.7,0.3,0.3,0.7,0.3,0.0,0.0,0.0,1.0,0.0
Boston Celtics,1,0,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
Dallas Mavericks,1,0,1,1.3,6.0,1.0,2.0,50.0,0.0,0.0,0.0,4.0,4.0,100,1.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0
New Orleans Pelicans,1,0,1,0.3,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
Toronto Raptors,2,0,2,1.3,2.0,0.5,1.0,50.0,0.5,0.5,100,0.5,0.5,100,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-3.0
