Team,Pace
Washington Wizards,106.12
Boston Celtics,107.07
Oklahoma City Thunder,107.42
San Antonio Spurs,109.21
Toronto Raptors,98.31
Atlanta Hawks,107.74
Indiana Pacers,98.08
Memphis Grizzlies,99.53
Portland Trail Blazers,117.13
Sacramento Kings,103.81
Milwaukee Bucks,101.32
New Orleans Pelicans,105.71
Chicago Bulls,102.23
Philadelphia 76ers,112.95
Charlotte Hornets,104.83
Cleveland Cavaliers,105.34
Houston Rockets,107.93
Utah Jazz,100.90
Dallas Mavericks,107.33
Miami Heat,105.91
New York Knicks,100.12
Phoenix Suns,103.13
Orlando Magic,109.33
LA Clippers,114.14
Detroit Pistons,101.02
Minnesota Timberwolves,102.37
Denver Nuggets,117.59
Los Angeles Lakers,98.11
Brooklyn Nets,118.77
Golden State Warriors,98.33
