Team,Pace
Charlotte Hornets,97.91
Sacramento Kings,109.21
Milwaukee Bucks,95.05
Orlando Magic,94.65
Atlanta Hawks,96.44
Detroit Pistons,105.48
Indiana Pacers,104.99
Seattle SuperSonics,106.48
Los Angeles Lakers,106.39
Miami Heat,92.78
Portland Trail Blazers,102.50
Golden State Warriors,98.13
San Antonio Spurs,101.36
New York Knicks,96.67
Philadelphia 76ers,101.28
Toronto Raptors,105.69
Denver Nuggets,97.63
Phoenix Suns,106.32
Utah Jazz,97.16
Boston Celtics,95.21
Houston Rockets,101.24
Minnesota Timberwolves,102.18
New Jersey Nets,103.23
Vancouver Grizzlies,105.19
Washington Wizards,109.72
Chicago Bulls,90.26
Cleveland Cavaliers,92.38
Dallas Mavericks,96.94
Los Angeles Clippers,102.51
