Team,Pace
Miami Heat,103.54
Milwaukee Bucks,116.01
Indiana Pacers,108.08
New Orleans Pelicans,108.54
Cleveland Cavaliers,98.62
Denver Nuggets,101.83
Portland Trail Blazers,105.83
Houston Rockets,107.65
Philadelphia 76ers,121.83
Boston Celtics,113.56
Chicago Bulls,108.79
Minnesota Timberwolves,100.75
Oklahoma City Thunder,108.28
Sacramento Kings,110.38
Toronto Raptors,119.95
LA Clippers,115.69
Los Angeles Lakers,102.89
Atlanta Hawks,111.90
Brooklyn Nets,117.12
Golden State Warriors,104.81
San Antonio Spurs,110.00
Washington Wizards,118.79
Charlotte Hornets,107.66
Orlando Magic,107.66
Phoenix Suns,122.42
Utah Jazz,114.21
Detroit Pistons,103.34
Memphis Grizzlies,103.04
New York Knicks,109.78
Dallas Mavericks,106.92
